,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
431172,1,500.0,441.72,711.88,29.49,27.0,720.0,0
717156,1,15000.0,14683.48,0.0,0.0,441.0,500.0,0
16362,1,720.0,770.53,0.0,0.0,81.0,0.0,0
1038643,1,4500.0,0.0,0.0,0.0,0.0,0.0,0
942356,1,2000.0,1695.53,85.44,0.0,51.0,100.0,0
276583,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
883867,3,5000.0,56.7,56.7,0.0,27.0,56.7,0
635478,3,15000.0,141.42,863.47,0.0,27.0,951.0,0
808350,1,5000.0,0.0,0.0,0.0,0.0,602.85,0
470153,1,27300.0,1425.78,1508.59,0.0,43.0,1919.57,0
754907,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
656053,1,24500.0,0.0,0.0,0.0,0.0,0.0,0
765327,1,1000.0,994.03,5.43,0.0,30.0,40.0,0
488199,1,1000.0,582.31,530.6,0.0,27.0,550.0,0
1050865,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
552196,3,26500.0,0.0,0.0,0.0,0.0,0.0,0
786930,1,8000.0,3543.6,0.0,0.0,210.0,0.0,0
857619,1,1500.0,774.97,0.0,0.0,29.0,100.0,0
955191,1,27500.0,8017.41,0.0,0.0,241.0,1000.0,0
979523,2,10500.0,202.76,495.55,0.0,27.0,360.98,0
1127855,1,500.0,218.0,383.58,0.0,27.0,165.58,0
903750,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
285849,1,28800.0,3374.27,0.0,0.0,101.0,500.0,0
243708,2,19000.0,55.48,55.48,0.0,0.0,87.05,0
652207,1,7000.0,6996.21,374.18,0.0,210.0,392.48,0
984937,1,500.0,0.0,0.0,0.0,0.0,0.0,0
925748,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
809250,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
641432,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
1236783,1,1500.0,1320.27,721.02,0.0,40.0,600.0,0
1202978,1,4000.0,0.0,0.0,0.0,104.0,200.0,0
180625,1,3000.0,1586.84,349.82,0.0,0.0,75.0,0
865526,1,500.0,297.15,279.75,0.0,27.0,15.0,0
594388,1,10000.0,24.0,24.0,0.0,24.0,0.0,0
780516,1,300.0,290.41,84.22,0.0,27.0,30.0,0
1155701,1,12800.0,0.0,0.0,0.0,0.0,0.0,0
1004973,1,500.0,494.41,69.6,0.0,0.0,50.0,0
1050830,2,5000.0,4818.21,6.49,0.0,0.0,150.0,0
349949,1,3500.0,3300.06,83.99,0.0,99.0,200.0,0
343328,1,5500.0,764.31,160.7,0.0,27.0,200.0,0
1035542,1,3000.0,1636.67,5.25,0.0,49.0,200.0,0
997420,1,2000.0,1990.0,55.0,0.0,60.0,59.0,0
1198822,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
1183351,1,500.0,409.89,77.46,0.0,27.0,60.0,0
962883,1,2000.0,1678.17,0.0,0.0,50.0,60.0,0
674317,1,27500.0,12574.17,369.07,0.0,377.0,344.0,0
274237,1,26800.0,565.14,882.48,38.95,0.0,308.39,0
443363,2,5000.0,0.0,0.0,0.0,0.0,0.0,0
709510,1,19500.0,0.0,0.0,0.0,0.0,0.0,0
569535,1,23000.0,231.66,231.66,0.0,27.0,692.72,0
355078,1,5000.0,3711.6,106.82,0.0,111.0,0.0,0
998994,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
316584,1,13000.0,12600.32,204.03,0.0,378.0,400.0,0
535547,1,24500.0,0.0,0.0,0.0,0.0,0.0,0
966038,1,1300.0,0.0,0.0,0.0,0.0,0.0,0
247295,3,5000.0,516.07,516.07,0.0,0.0,518.79,0
247166,1,14000.0,0.0,0.0,0.0,0.0,34.01,0
760001,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
762678,1,16500.0,8588.78,0.0,0.0,258.0,263.0,0
1192409,1,10000.0,2560.04,0.0,0.0,77.0,100.0,0
578683,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
741489,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
763884,1,12500.0,0.0,0.0,0.0,0.0,0.0,0
739872,1,21500.0,32.12,32.12,0.0,27.0,59.68,0
927837,1,5000.0,122.47,724.42,0.0,0.0,629.45,0
11057,1,500.0,0.0,0.0,0.0,0.0,0.0,0
683816,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
50041,2,5000.0,939.61,488.0,158.34,55.0,0.0,0
157726,3,14000.0,0.0,0.0,0.0,0.0,0.0,0
259269,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
970156,1,2500.0,2461.95,108.35,0.0,74.0,72.0,0
1198366,1,8000.0,3340.64,549.75,0.0,100.0,40.0,0
