,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
425105,1,300.0,-9.7,0.0,0.0,0.0,0.0,0
187330,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
1213987,1,500.0,489.79,0.0,0.0,27.0,50.0,0
673977,9,2000.0,0.0,0.0,0.0,0.0,0.0,0
965183,1,28000.0,3219.91,311.59,0.0,0.0,350.0,0
562934,1,500.0,0.0,0.0,0.0,0.0,0.0,0
479056,4,6300.0,0.0,0.0,0.0,0.0,0.0,0
1210821,1,500.0,0.0,0.0,0.0,0.0,0.0,0
515314,2,7000.0,503.24,1834.38,0.0,0.0,2203.49,0
721117,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
843250,1,500.0,452.16,19.27,0.99,27.0,27.0,0
815761,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
134902,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1118804,1,6500.0,4227.22,0.0,0.0,127.0,300.0,0
28838,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
947838,1,500.0,505.43,24.23,0.0,27.0,29.0,0
827771,1,1000.0,378.97,378.97,0.0,27.0,0.0,0
1070900,1,500.0,0.0,0.0,0.0,0.0,0.0,0
943733,2,18000.0,2184.34,89.11,0.0,66.0,74.0,0
262294,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
426633,1,500.0,0.0,0.0,0.0,0.0,0.0,0
316303,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
666991,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
807881,1,1000.0,548.78,63.27,0.0,0.0,530.0,0
746338,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
256478,4,7800.0,0.0,0.0,0.0,0.0,0.0,0
1128804,1,500.0,0.0,0.0,0.0,0.0,0.0,0
36498,1,8000.0,3500.0,0.0,0.0,105.0,650.0,0
378772,2,28000.0,0.0,0.0,0.0,0.0,0.0,0
566878,1,19000.0,15287.49,521.48,0.0,459.0,300.0,0
920662,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
26904,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
26514,2,5000.0,2446.07,0.0,0.0,73.0,74.0,0
210753,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
321077,1,27500.0,3444.12,1573.97,0.0,103.0,1000.0,0
221422,1,3000.0,2063.87,0.0,0.0,62.0,64.0,0
571596,1,8000.0,3106.27,1150.23,292.44,93.0,178.36,0
336604,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
744345,1,16500.0,0.0,0.0,0.0,0.0,0.0,0
698594,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
767644,1,4500.0,4424.23,79.14,0.0,133.0,133.0,0
304999,1,500.0,192.36,0.0,0.0,27.0,0.0,0
354645,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1201046,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
614891,1,25500.0,8980.06,2862.82,0.0,269.0,2200.0,0
975387,2,5000.0,3928.52,108.08,0.0,0.0,235.0,0
947777,1,2000.0,1920.69,181.54,0.0,58.0,100.0,0
1103485,1,5000.0,1249.19,0.0,0.0,37.0,328.99,0
8591,1,27000.0,0.0,0.0,0.0,0.0,0.0,0
402152,2,6000.0,0.0,0.0,0.0,0.0,0.0,0
831151,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
1053398,1,2500.0,0.0,0.0,0.0,0.0,2498.93,0
553318,2,26800.0,0.0,0.0,0.0,0.0,0.0,0
241806,1,14500.0,2021.53,0.0,0.0,120.0,0.0,0
376055,3,25000.0,0.0,0.0,0.0,0.0,0.0,0
606451,1,7000.0,3098.33,241.64,82.02,93.0,800.0,0
205887,1,16000.0,0.0,0.0,0.0,0.0,0.0,0
677181,3,5000.0,189.2,0.0,0.0,58.0,27.0,0
747889,1,5000.0,4615.08,0.0,0.0,138.0,141.0,0
181824,1,300.0,0.0,0.0,0.0,0.0,0.0,0
425562,1,23800.0,465.27,245.03,0.0,0.0,200.0,0
531227,1,9000.0,5520.86,0.0,0.0,166.0,522.61,0
674205,9,10300.0,0.0,0.0,0.0,0.0,0.0,0
1224436,1,3000.0,2096.9,0.0,0.0,63.0,120.0,0
584892,1,6500.0,1761.05,516.39,0.0,63.0,27.0,0
543949,1,12000.0,5012.66,0.0,0.0,0.0,154.0,0
719585,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
933375,4,1000.0,0.0,0.0,0.0,0.0,0.0,0
55994,1,19000.0,13612.37,1178.16,0.0,408.0,500.0,0
1086605,1,1500.0,17.59,53.53,0.0,17.59,56.82,0
1068738,1,28000.0,13543.17,1528.25,0.0,406.0,1000.0,0
1222110,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
664280,1,23500.0,207.74,207.23,0.0,0.0,141.74,0
1049586,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
134129,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
1168038,1,300.0,0.0,0.0,0.0,0.0,0.0,0
6520,1,500.0,0.0,0.0,0.0,0.0,0.0,0
146403,1,1200.0,0.0,0.0,0.0,0.0,0.0,0
203886,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1031343,1,2000.0,1592.22,0.0,0.0,0.0,200.0,0
1195229,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
300255,1,25500.0,1004.69,0.0,0.0,0.0,50.0,0
40217,3,5000.0,1454.51,1454.51,0.0,44.0,616.9,0
560460,1,500.0,15.77,311.81,0.0,15.77,426.43,0
391726,7,9800.0,0.0,0.0,0.0,0.0,0.0,0
572862,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
744041,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
346159,1,8500.0,5787.85,0.0,0.0,174.0,300.0,0
704849,1,18500.0,0.0,59.85,0.0,0.0,9.51,0
1219069,2,9000.0,0.0,1024.81,600.0,0.0,1758.72,0
871578,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
240930,1,21500.0,14213.55,350.18,0.0,0.0,1250.18,0
980950,2,27500.0,236.07,2185.5,77.08,27.0,1930.78,0
341859,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
590738,1,17000.0,158.97,306.02,0.0,27.0,195.08,0
628396,2,6500.0,0.0,0.0,0.0,0.0,0.0,0
692752,2,29500.0,0.0,0.0,0.0,0.0,0.0,0
22544,1,500.0,0.0,0.0,0.0,0.0,0.0,0
585900,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
590523,3,27000.0,0.0,0.0,0.0,0.0,0.0,0
601394,1,3000.0,2284.52,0.0,0.0,69.0,146.0,0
113435,1,25000.0,11772.1,134.45,0.0,353.0,357.0,0
406146,1,500.0,254.3,649.36,0.0,0.0,632.77,0
752045,4,5750.0,0.0,0.0,0.0,0.0,0.0,0
75548,1,2000.0,1975.82,14.99,0.0,0.0,90.0,0
86205,1,500.0,0.0,0.0,0.0,0.0,0.0,0
773684,1,3000.0,824.64,22.76,0.0,27.0,100.0,0
1094938,1,7500.0,0.0,0.0,0.0,0.0,0.0,0
915573,1,27000.0,25995.58,0.0,0.0,780.0,31.12,0
142658,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1048272,1,500.0,484.8,0.0,0.0,27.0,27.0,0
150757,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
1005243,2,5000.0,150.82,531.24,0.0,27.0,789.26,0
36447,2,19000.0,1737.35,2232.31,18.97,52.0,1051.58,0
703597,1,2000.0,0.0,56.05,0.0,0.0,34.94,0
411705,1,500.0,192.95,0.0,0.0,0.0,40.0,0
1198237,1,12000.0,991.24,0.0,0.0,0.0,630.0,0
1014900,1,2500.0,314.44,0.0,0.0,29.0,56.0,0
989056,1,500.0,0.0,0.0,0.0,0.0,0.0,0
349781,1,12800.0,0.0,0.0,0.0,0.0,0.0,0
681371,1,29500.0,14.06,304.95,0.0,14.06,304.95,0
763893,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
260667,1,12000.0,5293.42,0.0,0.0,159.0,200.0,0
350762,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
274909,1,2000.0,284.94,0.0,0.0,27.0,0.0,0
1058151,1,2000.0,0.0,5.66,0.0,0.0,5.66,0
69357,1,17800.0,356.52,0.0,27.8,27.0,80.0,0
919482,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
673127,1,500.0,0.0,18.19,0.0,0.0,18.19,0
806511,1,800.0,0.0,0.0,0.0,0.0,0.0,0
921839,1,1000.0,385.83,233.56,0.0,27.0,100.0,0
765087,2,16000.0,0.0,0.0,0.0,0.0,0.0,0
870690,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1216652,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
