,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
796676,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
614822,1,3000.0,2531.48,25.85,0.0,76.0,77.0,0
68613,1,2000.0,563.02,0.0,0.0,0.0,27.0,0
234329,1,14000.0,2804.58,0.0,0.0,0.0,91.0,0
1176134,2,5000.0,4116.48,0.0,0.0,123.0,200.0,0
655854,1,1300.0,169.0,0.0,0.0,27.0,10.11,0
103339,1,16000.0,536.15,570.28,62.35,0.0,78.0,0
984519,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
872366,1,18000.0,16863.88,251.76,0.0,0.0,550.0,0
875033,8,2000.0,0.0,0.0,0.0,0.0,0.0,0
1174279,1,2000.0,1065.63,110.47,0.0,32.0,29.0,0
817434,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
485281,1,500.0,129.0,239.08,0.0,27.0,110.08,0
676256,1,6500.0,459.12,459.12,0.0,0.0,0.0,0
490758,2,28500.0,699.31,720.7,21.39,27.0,9796.29,0
554674,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
839168,1,3600.0,1270.85,0.0,0.0,38.0,39.0,0
759,1,2000.0,875.82,0.0,0.0,54.0,54.0,0
1143903,1,5000.0,3932.1,0.0,0.0,118.0,200.0,0
266154,1,6000.0,4227.87,0.0,0.0,127.0,228.94,0
979855,1,300.0,152.86,122.94,0.0,27.0,120.0,0
504934,1,12500.0,212.52,1398.67,53.21,27.0,1500.0,0
941222,1,3000.0,1925.22,0.0,0.0,58.0,57.0,0
954476,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1081713,1,20000.0,18699.83,94.62,0.0,561.0,600.0,0
321900,1,5000.0,-199.82,0.0,0.0,0.0,0.0,0
626474,2,25000.0,2635.12,3441.05,34.96,79.0,1600.0,0
1206961,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
15940,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
914051,1,300.0,281.67,260.0,0.0,27.0,27.0,0
211310,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
507088,2,9000.0,727.78,772.78,45.0,0.0,866.19,0
378938,7,5000.0,0.0,0.0,0.0,0.0,0.0,0
482520,1,28800.0,102.4,102.4,0.0,27.0,259.01,0
220327,1,10000.0,4578.14,0.0,0.0,137.0,200.0,0
600193,4,2750.0,0.0,0.0,0.0,0.0,0.0,0
1135323,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
932227,1,2500.0,457.21,0.0,0.0,0.0,50.0,0
596744,1,5000.0,4289.01,165.96,0.0,129.0,0.0,0
479000,1,8300.0,0.0,0.0,0.0,0.0,0.0,0
50329,1,6000.0,751.65,518.3,0.0,27.0,0.0,0
683760,1,9500.0,8075.9,53.1,0.0,242.0,250.0,0
444649,1,17000.0,1179.48,1646.1,0.0,35.0,600.0,0
498985,2,10000.0,849.6,849.6,0.0,27.0,591.61,0
434151,1,28000.0,8489.19,165.37,0.0,0.0,300.0,0
549261,1,2000.0,1998.84,103.0,0.0,60.0,58.0,0
