,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
704801,1,9500.0,0.0,0.0,0.0,0.0,0.0,0
102977,1,1000.0,1008.48,88.75,0.0,30.0,100.0,0
20459,2,20500.0,4280.03,0.0,0.0,0.0,200.0,0
1164619,2,23000.0,0.0,0.0,0.0,0.0,0.0,0
534036,1,500.0,0.0,0.0,0.0,0.0,0.0,0
649139,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
1070140,1,500.0,0.0,0.0,0.0,0.0,0.0,0
220997,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
117002,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
887199,1,1000.0,806.08,0.0,0.0,27.0,230.0,0
1030441,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1192050,1,500.0,6.99,6.99,0.0,6.99,23.34,0
877880,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
438071,1,6500.0,920.66,2071.85,0.0,0.0,1896.51,0
1006686,1,2500.0,1928.09,0.0,0.0,58.0,100.0,0
520760,1,6000.0,4703.53,150.46,0.0,141.0,200.0,0
922539,1,25000.0,0.0,0.0,0.0,0.0,0.0,0
1047129,1,2000.0,50.18,938.38,103.83,27.0,784.37,0
882843,1,300.0,0.0,0.0,0.0,0.0,0.0,0
941608,2,5000.0,0.0,0.0,0.0,0.0,0.0,0
742745,1,5000.0,4748.37,0.0,0.0,142.0,750.0,0
1109792,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
505940,1,1500.0,580.06,0.0,0.0,60.0,0.0,0
143765,1,27000.0,0.0,0.0,0.0,0.0,0.0,0
1081487,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
316172,1,12500.0,2848.98,0.0,0.0,85.0,200.0,0
113268,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
592046,1,26500.0,240.87,399.22,0.0,27.0,299.49,0
116343,1,1000.0,1141.04,0.0,0.0,65.0,25.0,0
899294,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
570844,1,300.0,0.0,0.0,0.0,0.0,0.0,0
694745,2,14000.0,6486.13,4148.86,0.0,195.0,1000.0,0
343639,2,25000.0,1234.15,1255.46,21.31,37.0,1061.96,0
47418,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
1236522,1,500.0,0.0,0.0,0.0,0.0,0.0,0
813717,1,1000.0,0.0,62.3,0.0,0.0,64.43,0
220036,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1003362,3,27000.0,1302.85,4922.16,0.0,39.0,5240.36,0
1168578,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
1037497,1,15000.0,10973.15,53.75,0.0,329.0,345.0,0
489380,1,23500.0,2332.51,1299.47,0.0,70.0,1000.0,0
1099213,3,10500.0,0.0,1295.6,0.0,0.0,1738.43,0
519860,1,10500.0,10449.73,262.83,0.0,313.0,350.0,0
964372,1,500.0,122.83,122.83,0.0,0.0,0.0,0
337348,3,28000.0,0.0,0.0,0.0,0.0,0.0,0
769029,1,2000.0,1949.05,138.5,0.0,58.0,0.0,0
929367,1,1000.0,357.78,86.09,0.0,27.0,188.0,0
1044112,1,3000.0,158.06,48.47,0.0,54.0,0.0,0
944617,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
832668,3,15500.0,0.0,0.0,0.0,0.0,0.0,0
1088152,1,2000.0,2012.04,93.87,0.0,60.0,100.0,0
920089,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
235266,1,25500.0,875.66,920.31,119.99,27.0,500.0,0
654503,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
14424,2,29500.0,7.09,7.09,0.0,7.09,0.0,0
23041,1,7500.0,6541.34,0.0,120.44,196.0,500.0,0
593723,2,18000.0,5763.73,0.0,0.0,173.0,180.0,0
159582,1,6000.0,0.0,481.36,0.0,0.0,591.35,0
642735,1,28000.0,11918.4,260.77,0.0,358.0,250.0,0
1222021,1,5600.0,4821.39,0.0,0.0,145.0,600.0,0
781075,1,26800.0,13134.61,820.8,0.0,394.0,900.0,0
