,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
836111,1,8500.0,148.4,148.4,0.0,27.0,455.0,0
169867,1,24000.0,0.0,0.0,0.0,0.0,0.0,0
638749,1,6500.0,6324.24,4692.75,85.14,0.0,1200.0,0
1126641,1,800.0,455.86,26.24,0.0,27.0,100.0,0
233676,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1136318,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1045865,1,500.0,493.04,0.0,0.0,27.0,0.0,0
515477,1,500.0,139.52,163.65,0.0,27.0,250.0,0
203074,2,14000.0,1245.45,179.46,0.0,37.0,1100.0,0
382744,1,500.0,478.24,16.56,0.0,27.0,25.0,0
594739,2,18500.0,293.74,293.74,0.0,0.0,11.37,0
858507,1,7500.0,1818.62,0.0,0.0,55.0,135.0,0
153013,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
31546,1,24000.0,3643.49,0.0,0.0,0.0,150.0,0
667802,9,2500.0,0.0,0.0,0.0,0.0,0.0,0
1125675,1,500.0,0.0,0.0,0.0,0.0,0.0,0
327820,2,5000.0,4117.17,0.0,0.0,124.0,126.0,0
1226926,1,1000.0,445.98,0.0,0.0,27.0,27.0,0
486286,1,8000.0,7140.08,364.61,0.0,214.0,438.0,0
117301,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
401842,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
480407,1,500.0,282.42,557.44,0.0,27.0,602.0,0
838131,1,500.0,342.12,600.8,15.22,0.0,298.13,0
1016334,1,10000.0,8964.93,18.47,0.0,269.0,275.0,0
884635,1,500.0,0.0,788.75,0.0,0.0,850.49,0
831973,1,9000.0,0.0,0.0,0.0,0.0,0.0,0
1049570,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
267700,3,9000.0,60.0,60.0,0.0,27.0,0.0,0
906491,1,1000.0,25.46,0.0,0.0,25.46,50.0,0
676546,3,22500.0,0.0,0.0,0.0,0.0,0.0,0
834875,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1216104,1,300.0,0.0,0.0,0.0,0.0,0.0,0
668694,3,27300.0,35.13,650.33,0.0,27.0,1126.79,0
765702,1,3300.0,0.0,0.0,0.0,0.0,0.0,0
338282,1,6500.0,393.08,393.08,0.0,29.0,176.05,0
67772,1,9000.0,1537.52,791.72,0.0,46.0,0.0,0
996764,1,5000.0,1579.18,0.0,0.0,47.0,60.0,0
1168133,1,1000.0,471.13,367.54,1.5,27.0,700.0,0
60137,1,9000.0,0.0,0.0,0.0,0.0,0.0,0
554181,2,19000.0,1106.92,2338.07,0.0,33.0,3559.46,0
31432,1,10000.0,1852.61,598.68,0.0,56.0,200.0,0
355165,1,28500.0,2630.89,0.0,0.0,79.0,132.0,0
963003,3,12500.0,1353.11,837.88,72.61,27.0,229.71,0
236393,1,4500.0,0.0,0.0,0.0,0.0,0.0,0
414154,1,1000.0,980.76,0.0,0.0,29.0,40.0,0
131228,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1228290,1,8000.0,4569.22,0.0,0.0,137.0,140.0,0
105954,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
136920,1,7500.0,875.85,1076.46,0.0,27.0,735.0,0
951874,4,500.0,0.0,0.0,0.0,0.0,0.0,0
394153,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
447417,1,3000.0,2165.77,0.0,0.0,65.0,450.0,0
606777,1,22000.0,5546.95,0.0,0.0,166.0,550.93,0
279101,1,4000.0,844.98,0.0,0.0,25.0,26.0,0
510170,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1173657,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
667105,1,2500.0,1422.74,581.16,0.0,0.0,600.0,0
436346,1,19000.0,794.88,0.0,0.0,0.0,200.0,0
146492,1,12500.0,71.02,1236.33,131.5,27.0,1033.81,0
494216,2,29800.0,1408.2,1408.2,0.0,0.0,457.28,0
875922,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1066014,1,26000.0,19.91,0.0,0.0,0.0,15025.33,0
654997,1,23000.0,21544.22,289.55,0.0,646.0,717.17,0
542777,1,5000.0,4614.55,0.0,0.0,138.0,447.0,0
424185,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
712805,1,7500.0,2209.11,0.0,0.0,0.0,150.0,0
38038,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
501294,1,27000.0,23893.66,738.99,0.0,0.0,1200.0,0
11612,2,5000.0,-97.92,2930.21,3028.13,0.0,1909.73,0
1082379,1,300.0,0.0,26.9,0.0,0.0,26.9,0
1120105,1,3800.0,3801.15,389.86,0.0,114.0,350.0,0
487743,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
230366,1,5000.0,1704.78,1728.44,12.89,51.0,4824.95,0
532690,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
509520,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
994452,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1196013,1,2500.0,175.59,175.59,0.0,27.0,194.29,0
1060936,1,5000.0,-12.39,503.55,0.0,0.0,4625.79,0
800220,2,10000.0,6183.92,0.0,0.0,0.0,191.0,0
580899,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
243926,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
601301,1,9500.0,0.0,0.0,0.0,0.0,0.0,0
733323,3,6000.0,1368.96,0.0,0.0,41.0,47.0,0
795185,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
757599,2,6500.0,2039.74,0.0,0.0,61.0,62.0,0
704680,1,15000.0,6414.93,0.0,0.0,192.0,208.0,0
877769,1,1000.0,54.62,825.73,0.0,27.0,806.26,0
171721,1,5000.0,1065.89,0.0,0.0,63.0,0.0,0
456001,1,24500.0,0.0,0.0,0.0,0.0,0.0,0
165344,1,4000.0,2263.69,0.0,0.0,68.0,100.0,0
1157145,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
368248,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
592066,1,28300.0,5330.76,420.21,0.0,160.0,4903.48,0
226547,1,500.0,580.83,0.0,0.0,81.0,0.0,0
1178410,1,15000.0,558.57,563.86,5.29,27.0,228.13,0
238050,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
754549,1,26500.0,-0.01,0.0,0.0,0.0,47.61,0
122534,3,7500.0,0.0,0.0,0.0,0.0,0.0,0
472005,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
521529,1,1000.0,376.54,14.01,0.0,0.0,100.0,0
775591,1,6000.0,6050.12,355.9,0.0,180.0,221.0,0
1056035,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1214425,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
582544,1,2500.0,1655.97,53.24,0.0,50.0,50.0,0
497694,1,18500.0,6623.05,679.39,10.7,375.0,0.0,0
997756,1,10000.0,0.0,16.27,0.0,0.0,16.27,0
316570,1,13000.0,11456.13,689.93,0.0,115.0,1527.67,0
971616,1,300.0,0.0,0.0,0.0,0.0,0.0,0
885399,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
439291,2,27500.0,0.0,0.0,0.0,0.0,0.0,0
266984,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
384774,1,5000.0,3408.18,0.0,0.0,102.0,104.0,0
1090949,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
658409,1,2500.0,1475.08,1242.24,0.0,71.0,0.0,0
1230721,1,500.0,325.98,425.98,0.0,29.0,333.54,0
592314,1,2500.0,2117.37,210.2,0.0,64.0,150.0,0
786818,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
563869,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
186487,1,300.0,0.0,0.0,0.0,0.0,0.0,0
291831,1,27200.0,11435.41,134.95,0.0,343.0,651.61,0
451287,1,3000.0,-17.18,44.82,0.0,0.0,62.0,0
1100135,3,10000.0,9755.94,79.94,0.0,293.0,298.0,0
3654,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
264659,1,7500.0,2624.41,22.98,0.0,79.0,172.0,0
1009521,1,500.0,-4.16,0.0,0.0,0.0,0.0,0
397323,1,5000.0,1894.27,2526.19,0.0,0.0,4550.0,0
585814,1,24500.0,9003.5,123.36,0.0,0.0,300.0,0
312854,1,10500.0,1726.63,0.0,0.0,52.0,100.0,0
643805,1,1000.0,95.12,235.12,0.0,27.0,140.0,0
578824,1,27000.0,0.0,0.0,0.0,0.0,133.34,0
77233,1,8500.0,1922.42,0.0,0.0,0.0,59.0,0
797241,1,9000.0,7832.82,600.99,0.0,235.0,600.0,0
452402,1,500.0,0.0,4.11,0.0,0.0,0.0,0
527643,1,2750.0,0.0,0.0,0.0,0.0,0.0,0
348535,1,18500.0,0.0,0.0,0.0,0.0,0.0,0
646241,1,23000.0,0.0,0.0,0.0,0.0,0.0,0
1042134,1,500.0,65.13,365.26,0.0,27.0,527.45,0
307509,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1147800,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1097777,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
