,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
466963,3,23500.0,167.68,167.68,0.0,27.0,89.0,0
612644,1,300.0,294.09,37.78,0.0,54.0,0.0,0
567005,1,23000.0,3347.44,0.0,0.0,100.0,250.0,0
47435,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
559061,1,19000.0,1284.8,0.0,0.0,76.0,0.0,0
826923,1,10500.0,2250.52,707.46,0.0,68.0,93.0,0
1126898,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
684718,1,17500.0,0.0,0.0,0.0,0.0,0.0,0
1151617,1,500.0,205.16,103.59,0.0,27.0,300.0,0
997105,1,3800.0,3331.31,52.36,0.0,0.0,167.0,0
318661,1,27500.0,0.0,0.0,0.0,0.0,0.0,0
551264,4,1500.0,0.0,0.0,0.0,0.0,0.0,0
261425,1,500.0,0.0,0.0,0.0,0.0,0.0,0
163803,3,28700.0,0.0,61.08,0.0,0.0,64.34,0
587291,2,7000.0,0.0,0.0,0.0,0.0,0.0,0
945288,1,3000.0,1857.25,0.0,0.0,56.0,57.0,0
221701,1,3500.0,27.5,32.75,0.0,27.5,38.79,0
220867,2,19500.0,0.0,170.39,0.0,0.0,288.82,0
524485,1,25500.0,0.0,15.06,0.0,0.0,15.06,0
1123736,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
496444,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
635257,1,28500.0,42.39,42.39,0.0,27.0,86.02,0
1130101,1,5000.0,1005.13,86.0,0.0,30.0,100.0,0
31173,2,27500.0,0.0,0.0,0.0,0.0,0.0,0
1058714,1,400.0,0.0,0.0,0.0,0.0,0.0,0
210387,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
930069,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1106411,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1097149,1,10000.0,2571.4,2887.64,569.99,77.0,0.0,0
1187468,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
461478,1,10000.0,4046.69,0.0,0.0,121.0,323.0,0
368074,1,23500.0,133.58,133.58,0.0,27.0,48.8,0
683267,1,10000.0,545.35,544.95,0.0,27.0,0.0,0
66451,2,7000.0,955.61,0.0,0.0,29.0,120.0,0
290522,1,25000.0,0.0,0.0,0.0,0.0,137.9,0
169070,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
1073047,1,1500.0,16.38,385.45,33.57,16.38,441.22,0
93265,1,11500.0,4814.17,0.0,0.0,144.0,200.0,0
1022550,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1076751,2,8000.0,206.78,544.59,339.8,27.0,203.0,0
959652,1,5000.0,0.0,1145.3,0.0,0.0,1145.3,0
76849,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
732187,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
90913,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
589576,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
260157,1,12500.0,0.0,0.0,0.0,0.0,0.0,0
989881,1,500.0,116.32,313.05,256.8,27.0,160.0,0
620788,1,15500.0,0.0,0.0,0.0,0.0,0.0,0
252147,7,2500.0,0.0,0.0,0.0,0.0,0.0,0
879971,1,17500.0,0.0,0.0,0.0,0.0,0.0,0
809465,1,1000.0,647.96,480.44,65.28,0.0,600.0,0
1000127,3,5000.0,4946.61,44.68,0.0,0.0,149.0,0
817322,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
159329,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
406574,1,13000.0,5047.57,2180.36,14.2,151.0,1000.0,0
661746,1,13500.0,510.91,0.0,0.0,27.0,200.0,0
