,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
968161,1,500.0,433.61,403.19,0.0,27.0,300.0,0
566121,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
786979,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
591086,1,26500.0,16063.81,18.0,0.0,482.0,500.0,0
758975,3,5000.0,0.0,0.0,0.0,0.0,0.0,0
1065376,1,500.0,73.86,171.45,0.0,0.0,175.0,0
443457,1,1000.0,440.25,0.0,0.0,27.0,100.0,0
999463,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1038268,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
931188,1,2000.0,1503.35,73.52,5.29,45.0,100.0,0
723843,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1048430,3,10000.0,141.5,2141.43,139.95,0.0,2922.56,0
140966,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1141850,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
121397,1,500.0,39.32,435.31,0.0,0.0,496.55,0
1187721,1,4000.0,3761.44,0.0,0.0,113.0,310.0,0
623048,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
934601,1,2700.0,143.5,907.85,0.0,0.0,1320.69,0
500441,1,2500.0,0.0,31.57,0.0,0.0,44.07,0
1079321,2,28000.0,481.13,1144.51,0.0,27.0,894.87,0
1137851,1,3000.0,817.37,417.69,0.0,27.0,240.0,0
1102992,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
15889,1,14600.0,0.0,0.0,0.0,0.0,0.0,0
1140989,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1093480,1,500.0,159.8,284.85,0.0,27.0,165.0,0
639118,1,6500.0,275.98,275.98,0.0,27.0,330.76,0
717841,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
272467,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
581129,1,5000.0,4318.82,0.0,0.0,130.0,150.0,0
32373,1,500.0,183.24,245.78,0.0,27.0,300.0,0
179321,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
1224386,1,500.0,331.71,403.28,0.0,27.0,71.57,0
820116,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
664894,1,25000.0,0.0,0.0,0.0,0.0,0.0,0
857775,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
586422,3,5000.0,333.62,603.48,4.04,27.0,366.27,0
159071,1,8200.0,1505.41,0.0,0.0,45.0,97.0,0
488234,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
662112,3,10000.0,0.0,0.0,0.0,0.0,0.0,0
427346,1,27500.0,0.0,0.0,0.0,0.0,0.0,0
949551,1,2500.0,262.84,963.54,26.99,27.0,920.0,0
489612,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1176749,1,2000.0,76.69,1064.56,0.0,27.0,1105.94,0
282133,2,27000.0,0.0,0.0,0.0,0.0,0.0,0
995530,1,300.0,198.63,198.63,0.0,27.0,0.0,0
1072327,1,4300.0,1940.97,52.99,0.0,0.0,160.0,0
780255,3,10000.0,0.0,0.0,0.0,0.0,0.0,0
540470,1,1000.0,590.79,0.0,0.0,27.0,50.0,0
194759,1,26500.0,0.0,0.0,0.0,0.0,0.0,0
1051280,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
656058,1,24500.0,0.0,0.0,0.0,0.0,0.0,0
699899,2,5000.0,2545.47,479.24,0.0,76.0,250.0,0
821326,3,5000.0,410.0,1964.57,0.0,27.0,1662.23,0
192881,1,26500.0,0.0,0.0,0.0,0.0,0.0,0
96057,1,11500.0,-7.1,0.0,0.0,0.0,0.0,0
994599,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
957921,1,1000.0,910.25,461.27,0.0,27.0,50.0,0
13901,1,22100.0,0.0,0.0,0.0,0.0,0.0,0
956694,1,500.0,0.0,0.0,0.0,0.0,0.0,0
810033,1,500.0,247.64,0.0,0.0,29.0,100.0,0
549216,3,29000.0,1978.89,1978.89,0.0,0.0,2751.63,0
746043,2,12500.0,0.0,0.0,0.0,0.0,0.0,0
415719,1,26300.0,10.0,83.2,0.0,0.0,2443.89,0
311317,1,19000.0,7906.22,200.0,0.0,237.0,400.0,0
539315,1,10000.0,0.0,0.0,0.0,0.0,169.32,0
1179876,1,500.0,489.1,489.1,0.0,0.0,208.69,0
1039814,1,25000.0,1814.17,0.0,0.0,54.0,215.53,0
288227,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1165179,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
1031929,9,300.0,0.0,0.0,0.0,0.0,0.0,0
1130697,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
402751,1,23500.0,187.13,503.24,0.0,27.0,604.18,0
910699,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
769582,1,400.0,0.0,0.0,0.0,0.0,0.0,0
55199,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1013256,1,10000.0,463.98,230.91,0.0,29.0,0.0,0
1118067,1,1000.0,911.68,0.0,0.0,27.0,210.0,0
536814,1,10800.0,1814.36,3893.84,45.32,54.0,0.0,0
415893,7,24800.0,0.0,0.0,0.0,0.0,0.0,0
803617,4,6750.0,0.0,0.0,0.0,0.0,0.0,0
1177763,1,1000.0,0.0,100.0,25.99,0.0,121.72,0
182139,2,5000.0,1070.55,58.91,0.0,32.0,100.0,0
663383,1,3500.0,1210.03,314.47,0.0,36.0,900.0,0
407404,1,13000.0,12450.3,689.64,0.0,374.0,400.0,0
89122,1,18500.0,0.0,0.0,0.0,0.0,0.0,0
544209,2,12000.0,2212.47,81.18,0.0,66.0,512.09,0
649351,1,500.0,467.76,0.0,0.0,27.0,54.0,0
472810,1,15000.0,3692.91,0.0,0.0,0.0,200.0,0
1016518,4,11500.0,0.0,0.0,0.0,0.0,0.0,0
1068379,1,8200.0,114.03,511.02,0.0,0.0,506.81,0
338986,1,27000.0,880.23,880.23,0.0,27.0,1610.84,0
898397,1,300.0,0.0,0.0,0.0,0.0,0.0,0
861179,1,1200.0,1079.45,846.86,0.0,32.0,473.85,0
971341,1,3500.0,2735.44,0.0,0.0,82.0,100.0,0
595190,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
652272,1,7000.0,4111.99,0.0,0.0,123.0,125.0,0
173301,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
577371,1,26800.0,579.57,477.41,0.0,27.0,458.12,0
1216097,1,1000.0,576.36,295.32,0.0,27.0,27.0,0
178243,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
1056337,3,6000.0,1441.52,1983.09,0.0,0.0,578.38,0
1220740,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
281637,1,7500.0,0.0,0.0,0.0,0.0,0.0,0
1081244,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
290441,1,29000.0,1773.92,402.92,0.0,0.0,500.0,0
380979,2,26500.0,67.1,169.66,21.38,0.0,93.35,0
539521,1,28800.0,1095.58,389.36,101.17,33.0,414.0,0
347110,1,28000.0,1704.5,798.02,17.0,51.0,0.0,0
745357,1,25000.0,1103.27,0.0,0.0,33.0,0.0,0
980663,1,500.0,0.0,0.0,0.0,0.0,0.0,0
927963,1,1000.0,190.76,317.76,0.0,27.0,591.65,0
241529,1,20300.0,0.0,0.0,0.0,0.0,0.0,0
699007,1,500.0,78.63,99.95,0.0,27.0,0.0,0
557227,2,27000.0,0.0,0.0,0.0,0.0,0.0,0
451916,2,25800.0,0.0,0.0,0.0,0.0,0.0,0
841952,2,5000.0,552.91,552.91,0.0,27.0,0.0,0
1074308,3,25000.0,0.0,77.9,21.3,0.0,56.6,0
1159468,1,10000.0,0.78,0.0,0.0,0.0,0.0,0
988407,1,4500.0,3772.03,1122.76,94.15,0.0,1300.0,0
1012487,1,1000.0,184.68,0.0,0.0,27.0,81.0,0
681591,1,4000.0,887.19,0.0,0.0,27.0,100.0,0
427148,1,12500.0,0.0,0.0,0.0,0.0,0.0,0
811742,1,21500.0,0.0,0.0,0.0,0.0,0.0,0
1151213,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
197736,1,300.0,0.0,0.0,0.0,0.0,0.0,0
874074,1,26500.0,2987.68,579.71,0.0,90.0,600.0,0
1137229,1,1000.0,0.0,0.0,0.0,0.0,394.56,0
1041918,1,10000.0,6650.65,309.0,0.0,200.0,379.0,0
995414,1,300.0,0.0,0.0,0.0,0.0,0.0,0
444607,1,21800.0,0.0,0.0,0.0,0.0,0.0,0
168712,1,2000.0,0.0,0.0,0.0,55.0,100.0,0
846472,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1055467,1,300.0,0.0,0.0,0.0,0.0,0.0,0
496275,1,500.0,209.36,424.73,15.37,27.0,200.0,0
222754,1,5500.0,741.92,0.0,0.0,0.0,75.0,0
89272,1,10000.0,212.71,212.71,0.0,29.0,882.35,0
691190,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
443137,1,6000.0,5774.0,192.89,0.0,173.0,200.0,0
308764,1,21800.0,0.0,0.0,0.0,0.0,0.0,0
283429,3,6000.0,5866.85,88.99,0.0,176.0,0.0,0
768773,1,24000.0,1555.23,0.0,0.0,0.0,48.0,0
917628,1,2500.0,9.87,2.99,0.0,0.0,6.0,0
1133594,1,21500.0,5899.21,2366.82,50.74,0.0,4000.0,0
361709,1,12500.0,10239.19,159.95,0.0,307.0,500.0,0
1100376,1,500.0,0.0,0.0,0.0,0.0,0.0,0
788219,1,2000.0,545.39,85.42,0.0,27.0,300.0,0
732950,1,3500.0,2951.05,0.0,0.0,89.0,100.0,0
285381,1,9300.0,0.0,0.0,0.0,0.0,0.0,0
630728,1,15500.0,4402.95,765.95,60.08,0.0,1200.0,0
818833,1,7500.0,0.0,0.0,0.0,0.0,0.0,0
504939,1,12500.0,653.01,2425.14,0.0,27.0,2100.0,0
714123,2,28000.0,0.0,0.0,0.0,0.0,0.0,0
58216,1,5000.0,4321.65,0.0,0.0,130.0,75.0,0
541798,2,25500.0,0.0,0.0,0.0,0.0,0.0,0
1051541,1,2000.0,1926.41,347.83,0.0,58.0,300.0,0
1183031,1,4000.0,12.41,1256.45,0.0,12.41,4603.48,0
555379,3,5000.0,0.0,0.0,0.0,0.0,136.0,0
556667,1,25000.0,166.14,8868.67,0.0,29.0,8702.53,0
275692,1,12500.0,0.0,0.0,0.0,0.0,0.0,0
1092211,1,5000.0,403.23,0.0,0.0,27.0,102.0,0
812718,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
535780,1,1500.0,1492.88,20.0,0.0,45.0,45.0,0
403206,2,9000.0,7143.48,131.01,15.31,0.0,333.7,0
222374,1,28000.0,-48.51,0.0,24.24,0.0,0.0,0
678150,2,6000.0,2952.08,38.96,0.0,89.0,89.0,0
901690,1,1000.0,-0.07,0.0,0.0,0.0,511.0,0
702365,1,500.0,0.0,0.0,0.0,0.0,0.0,0
321964,1,25300.0,2274.37,2729.37,0.0,0.0,515.3,0
808303,1,500.0,0.0,0.0,0.0,0.0,0.0,0
769997,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
799223,1,23000.0,19053.86,284.3,0.0,572.0,27.0,0
213744,3,8000.0,448.48,67.49,0.0,0.0,1000.0,0
1142911,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
339420,2,13000.0,616.54,606.65,0.0,0.0,450.0,0
989416,2,26500.0,23306.12,1824.77,4.12,699.0,656.0,0
1197613,1,19000.0,3809.29,0.0,0.0,114.0,270.0,0
678062,1,400.0,0.0,0.0,0.0,0.0,0.0,0
232376,3,10000.0,5358.7,5358.7,0.0,0.0,815.88,0
1107786,1,2500.0,1772.62,0.0,0.0,53.0,563.75,0
551436,2,17000.0,1991.13,677.39,0.0,0.0,452.0,0
372741,1,24800.0,0.0,0.0,0.0,0.0,0.0,0
528850,4,6500.0,0.0,0.0,0.0,0.0,0.0,0
495172,6,13000.0,0.0,0.0,0.0,0.0,0.0,0
1103347,1,29000.0,0.0,0.0,0.0,0.0,0.0,0
1154154,2,6000.0,2806.27,0.0,0.0,84.0,100.0,0
380737,1,500.0,471.1,52.8,0.0,0.0,100.0,0
929249,1,500.0,0.0,38.58,23.59,0.0,304.13,0
302832,1,1000.0,517.0,517.0,0.0,27.0,310.97,0
907174,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
829423,1,800.0,194.92,0.0,0.0,54.0,54.0,0
835405,1,500.0,34.49,34.49,0.0,27.0,28.21,0
1157379,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
274300,1,1000.0,311.61,871.87,0.0,27.0,852.0,0
288071,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
655657,1,22300.0,1562.12,197.26,44.73,47.0,200.0,0
866527,1,2000.0,1952.28,0.0,0.0,117.0,0.0,0
1186382,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
78566,1,12800.0,1706.03,0.0,0.0,51.0,600.0,0
912584,1,1000.0,895.49,24.39,0.0,27.0,117.0,0
645637,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
683865,1,30000.0,0.0,0.0,0.0,0.0,0.0,0
368823,10,5750.0,0.0,0.0,0.0,0.0,0.0,0
259464,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
276440,1,9500.0,38.84,38.84,0.0,27.0,0.0,0
410971,4,5500.0,0.0,0.0,0.0,0.0,0.0,0
970647,1,2000.0,634.54,864.32,0.0,27.0,444.22,0
1150416,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
266265,1,8500.0,5.27,6.56,1.29,0.0,6.56,0
635885,1,30000.0,0.0,0.0,0.0,0.0,0.0,0
811300,1,11000.0,0.0,0.0,0.0,0.0,0.0,0
825689,1,5000.0,4881.24,191.54,0.0,146.0,150.0,0
413415,1,18800.0,10104.46,13.07,0.0,303.0,500.0,0
1056069,1,4000.0,3693.59,0.0,0.0,226.0,221.0,0
46508,1,1000.0,662.25,662.25,0.0,27.0,331.46,0
909135,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
819189,1,800.0,-4.86,0.0,0.0,0.0,0.0,0
1139317,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
853934,1,300.0,291.9,185.61,0.0,27.0,157.0,0
695652,1,6000.0,1379.51,17.31,17.31,0.0,100.0,0
159375,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
669512,1,19000.0,14568.84,309.84,0.0,0.0,460.0,0
792034,1,22000.0,0.0,0.0,0.0,0.0,0.0,0
412190,1,28000.0,0.0,0.0,0.0,0.0,829.2,0
971216,8,1500.0,0.0,0.0,0.0,0.0,0.0,0
503988,2,15000.0,72.47,72.47,0.0,27.0,94.95,0
604475,1,5000.0,3532.18,0.0,0.0,106.0,140.0,0
1055313,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
767838,1,2000.0,1899.39,546.94,0.0,57.0,298.0,0
337311,1,20500.0,2081.72,244.76,0.0,62.0,200.0,0
200770,1,13500.0,0.0,0.0,0.0,0.0,0.0,0
807836,1,16500.0,19.05,19.05,0.0,19.05,19.05,0
1084292,1,9000.0,6715.22,0.0,0.0,201.0,400.0,0
408511,1,5000.0,2525.9,159.96,0.0,76.0,100.0,0
725463,1,2000.0,1793.83,0.0,0.0,54.0,60.0,0
1173732,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
966109,1,500.0,397.79,13.07,0.0,27.0,27.0,0
297267,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1044352,1,3200.0,0.0,0.0,0.0,0.0,0.0,0
1163167,1,1000.0,933.33,0.0,0.0,28.0,40.0,0
1101111,1,600.0,606.9,119.41,0.0,27.0,45.0,0
155116,1,13500.0,0.0,0.0,0.0,0.0,0.0,0
437744,1,5400.0,0.0,0.0,0.0,0.0,0.0,0
419818,1,3500.0,3397.7,23.48,0.0,0.0,103.0,0
444205,2,13800.0,12351.25,2011.3,6.91,367.0,1480.22,0
853373,1,1000.0,683.43,683.43,0.0,27.0,530.36,0
1190971,1,3700.0,2791.38,294.07,139.35,84.0,200.0,0
926656,1,500.0,462.64,0.0,0.0,27.0,27.0,0
807253,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
466244,1,3500.0,3218.62,249.05,0.0,0.0,100.0,0
1208981,1,6500.0,234.16,0.0,0.0,27.0,100.0,0
940994,1,26300.0,-770.22,102.58,0.0,0.0,0.0,0
1050066,1,4500.0,0.0,0.0,0.0,0.0,1359.0,0
623114,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
725223,1,13000.0,1.51,329.87,0.0,1.51,3534.85,0
79066,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
565405,2,23000.0,-1550.62,1682.05,52.43,0.0,2000.0,0
298055,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1126956,1,2000.0,144.0,144.0,0.0,27.0,65.4,0
1184429,1,29500.0,0.0,2803.0,0.0,0.0,2803.0,0
1092530,1,500.0,0.0,0.0,0.0,0.0,0.0,0
246197,1,5000.0,3037.17,2194.15,0.0,91.0,500.0,0
87312,1,27500.0,0.0,0.0,0.0,0.0,0.0,0
665537,1,28500.0,0.0,0.0,0.0,0.0,0.0,0
954009,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
924346,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
276035,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
894859,1,1500.0,1137.77,57.67,0.0,0.0,100.0,0
44231,1,15000.0,0.0,0.0,0.0,0.0,3.12,0
997430,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
719525,1,25000.0,8506.85,892.12,0.0,255.0,500.0,0
1073262,1,5000.0,42.96,42.96,0.0,27.0,0.0,0
524008,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
511137,1,17000.0,0.0,0.0,0.0,0.0,0.0,0
170329,1,10000.0,5474.77,0.0,0.0,164.0,200.0,0
1088338,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
655774,1,29500.0,0.0,0.0,0.0,0.0,0.0,0
36150,1,11500.0,10080.8,0.0,0.0,302.0,650.0,0
628063,1,1000.0,1041.27,0.0,0.0,51.0,9.0,0
401956,1,23800.0,18265.17,0.0,0.0,548.0,559.0,0
388641,1,11500.0,-93.8,0.0,0.0,0.0,0.0,0
112404,1,1000.0,887.66,0.0,0.0,27.0,50.0,0
909775,1,1000.0,0.0,170.13,0.0,0.0,185.15,0
494293,1,12000.0,0.0,0.0,0.0,0.0,216.55,0
1136651,1,2000.0,701.27,0.0,0.0,0.0,100.0,0
741390,1,26500.0,2236.4,0.0,0.0,67.0,70.0,0
126414,1,1000.0,939.28,0.0,0.0,28.0,30.0,0
382325,1,1250.0,0.0,0.0,0.0,0.0,0.0,0
237816,1,5000.0,1743.94,488.23,0.0,52.0,1000.0,0
372373,4,4800.0,0.0,0.0,0.0,0.0,0.0,0
766447,1,10000.0,2744.21,0.0,0.0,82.0,100.0,0
496562,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
199119,1,17500.0,0.0,0.0,0.0,0.0,0.0,0
591438,1,28300.0,3332.03,47.2,0.0,100.0,2813.31,0
853616,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
943254,1,500.0,394.01,200.35,11.74,29.0,0.0,0
576022,2,25800.0,234.78,234.78,0.0,27.0,170.0,0
1234090,2,5000.0,158.97,158.97,0.0,27.0,202.6,0
252776,1,500.0,368.5,833.12,0.0,27.0,820.0,0
526751,3,28300.0,8312.06,9422.01,1109.95,0.0,6936.8,0
729009,1,2000.0,1932.08,0.0,0.0,58.0,170.0,0
396015,1,2000.0,1602.5,0.0,0.0,139.0,0.0,0
223239,1,28500.0,196.86,496.86,0.0,0.0,300.0,0
563964,1,5450.0,0.0,0.0,0.0,0.0,0.0,0
81965,1,19000.0,13407.0,0.0,0.0,402.0,425.0,0
459680,1,500.0,0.0,0.0,0.0,0.0,0.0,0
698563,2,10000.0,0.0,0.0,0.0,0.0,0.0,0
756361,1,24000.0,0.0,702.72,27.29,0.0,836.29,0
540885,1,6750.0,3311.39,0.0,0.0,99.0,126.0,0
812841,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
636477,1,22000.0,10385.35,146.21,0.0,536.0,400.0,0
