,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
909602,1,500.0,0.0,0.0,0.0,0.0,573.51,0
729378,3,15000.0,1310.87,166.63,0.0,39.0,100.0,0
642809,2,9300.0,0.0,0.0,0.0,0.0,0.0,0
1139429,1,12500.0,1004.12,250.01,0.0,30.0,257.77,0
1125694,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
524548,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
421468,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1070859,2,5000.0,73.23,86.59,0.0,27.0,120.0,0
685365,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1047375,1,2000.0,1524.91,36.21,0.0,46.0,163.0,0
662575,1,6500.0,1613.57,815.33,0.0,48.0,40.0,0
470288,1,15000.0,0.0,0.0,0.0,0.0,0.0,0
736634,1,2000.0,1968.02,0.0,0.0,59.0,119.0,0
1186296,1,500.0,0.0,0.0,0.0,0.0,0.0,0
377046,4,6200.0,0.0,0.0,0.0,0.0,0.0,0
1204412,1,2800.0,1289.04,0.0,0.0,39.0,39.0,0
419036,1,2000.0,1825.61,10.64,0.0,55.0,21.0,0
87,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
108765,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
1024777,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
396732,3,12000.0,1684.92,1752.76,67.84,51.0,1676.11,0
795683,1,12500.0,0.0,0.0,0.0,0.0,0.0,0
721254,4,5750.0,0.0,0.0,0.0,0.0,0.0,0
338485,1,14500.0,3653.5,0.0,0.0,218.0,0.0,0
540530,1,13800.0,2438.83,2438.83,0.0,73.0,111.39,0
887946,1,500.0,459.83,42.93,0.0,29.0,50.0,0
542041,2,20000.0,524.69,1354.91,0.0,27.0,1267.29,0
1185233,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
447017,1,3300.0,3174.78,53.13,0.0,95.0,150.0,0
568214,2,26300.0,97.91,897.58,0.0,27.0,1270.0,0
656529,1,8500.0,3169.95,124.57,0.0,95.0,400.0,0
41109,1,23500.0,0.0,0.0,0.0,0.0,0.0,0
1016207,1,500.0,535.24,0.0,0.0,81.0,0.0,0
561170,1,2000.0,1902.74,0.0,0.0,57.0,58.0,0
781273,1,1000.0,846.73,0.0,0.0,0.0,60.0,0
483509,1,700.0,552.18,0.0,0.0,40.0,0.0,0
912613,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
279808,1,28500.0,-21.79,28.21,0.0,0.0,131.2,0
775081,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
1125198,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
52519,2,5000.0,141.71,174.78,8.59,0.0,1196.91,0
96350,1,300.0,0.0,0.0,0.0,0.0,0.0,0
389488,1,4000.0,24.06,235.08,0.0,24.06,2467.23,0
