,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
1110619,1,2500.0,2500.29,49.99,0.0,75.0,100.0,0
1185809,1,300.0,0.0,0.0,0.0,0.0,0.0,0
649957,1,28000.0,0.0,0.0,0.0,0.0,0.0,0
550878,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
209241,1,10000.0,4469.43,603.68,0.0,134.0,150.0,0
475947,1,11500.0,11242.81,242.41,0.0,337.0,347.0,0
183971,1,18300.0,15895.9,0.0,0.0,477.0,500.0,0
934572,1,1000.0,921.46,0.0,0.0,82.0,0.0,0
1055780,1,2500.0,1461.62,0.0,0.0,44.0,45.0,0
540422,1,7500.0,0.0,0.0,0.0,0.0,0.0,0
1124995,3,25000.0,521.72,521.72,0.0,27.0,260.09,0
1098966,1,25800.0,7619.8,199.87,0.0,229.0,0.0,0
759985,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
1078758,2,15000.0,0.0,0.0,0.0,0.0,0.0,0
530416,1,14300.0,9946.98,100.0,0.0,298.0,325.0,0
613265,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
884675,1,2300.0,264.12,294.09,0.0,0.0,135.0,0
40141,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
857249,1,1000.0,1005.46,0.0,0.0,30.0,100.0,0
232349,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
565842,1,15000.0,0.0,0.0,0.0,0.0,0.0,0
541275,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
1193542,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
292883,1,11500.0,3016.57,0.0,0.0,90.0,150.0,0
942037,1,500.0,0.0,0.0,0.0,0.0,0.0,0
717424,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
736119,1,500.0,0.0,0.0,0.0,0.0,0.0,0
32761,1,19000.0,28.65,29.0,0.0,0.0,71.0,0
