,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
290409,1,28500.0,0.0,157.46,0.0,0.0,216.42,0
88682,1,23300.0,14050.77,0.0,0.0,422.0,450.0,0
24211,1,21000.0,0.0,0.0,0.0,0.0,0.0,0
654035,8,10750.0,0.0,0.0,0.0,0.0,0.0,0
496136,4,11300.0,0.0,0.0,0.0,0.0,0.0,0
672499,1,500.0,442.67,128.92,0.0,27.0,35.0,0
347485,1,300.0,0.0,0.0,0.0,0.0,0.0,0
851175,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
702749,1,25300.0,4009.66,30.0,0.0,0.0,200.0,0
988084,1,1000.0,69.64,171.16,0.0,27.0,350.0,0
146244,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1065053,3,12000.0,4771.29,1318.32,706.2,143.0,500.0,0
700870,1,1500.0,1187.65,767.93,0.0,36.0,300.0,0
827685,1,9500.0,260.25,48.61,0.0,27.0,500.0,0
1079993,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1134016,1,1000.0,606.33,0.0,0.0,27.0,104.77,0
105495,8,10000.0,0.0,0.0,0.0,0.0,0.0,0
866098,1,500.0,0.0,147.3,0.0,27.0,169.01,0
1028937,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1120853,1,500.0,317.76,0.0,0.0,54.0,0.0,0
1224501,3,13000.0,2840.1,0.0,0.0,85.0,209.26,0
39342,1,1500.0,842.63,842.63,0.0,27.0,670.65,0
1186092,1,1000.0,395.16,0.0,0.0,35.0,70.0,0
867916,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
404675,1,14500.0,5451.94,9.4,0.0,164.0,100.0,0
50196,1,13000.0,0.0,0.0,0.0,0.0,0.0,0
752207,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
538028,1,500.0,0.0,0.0,0.0,0.0,0.0,0
182853,1,29500.0,2245.06,2245.06,0.0,67.0,0.0,0
27447,1,1500.0,1187.63,0.0,0.0,36.0,114.0,0
1147316,4,7000.0,0.0,0.0,0.0,0.0,0.0,0
80867,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
407689,1,26000.0,11311.29,0.0,0.0,339.0,400.0,0
422363,1,26000.0,105.41,105.41,0.0,0.0,940.0,0
1217391,1,2000.0,1885.18,0.0,0.0,57.0,60.0,0
923747,1,11800.0,11386.25,173.31,43.5,0.0,345.0,0
283427,1,1000.0,787.16,1.99,0.0,54.0,0.0,0
925987,1,5500.0,115.92,1037.68,61.0,27.0,921.87,0
872731,1,700.0,0.0,0.0,0.0,0.0,0.0,0
518847,2,27500.0,0.0,1100.71,63.56,31.0,115.7,0
745287,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
305382,1,3000.0,1781.01,102.85,0.0,53.0,100.0,0
515193,1,2500.0,598.03,3040.19,0.0,27.0,2961.77,0
553598,1,700.0,0.0,0.0,0.0,0.0,0.0,0
1073859,1,300.0,161.12,90.26,0.0,27.0,30.0,0
90231,4,4000.0,0.0,0.0,0.0,0.0,0.0,0
949678,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1206864,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
41680,1,10000.0,7716.13,529.7,0.0,231.0,400.0,0
1132390,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
842956,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
425771,1,26300.0,5765.56,69.62,0.0,173.0,300.0,0
375602,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
837215,1,8200.0,0.0,0.0,0.0,0.0,0.0,0
647951,1,8000.0,1271.4,212.84,0.0,38.0,369.28,0
620966,1,500.0,177.25,429.43,0.0,0.0,331.06,0
1086694,1,2100.0,180.49,689.35,0.0,27.0,673.71,0
280253,2,17300.0,7.98,303.79,295.81,7.98,171.57,0
850614,1,7000.0,206.75,68.02,0.0,27.0,250.0,0
842852,1,1000.0,0.0,0.0,0.0,0.0,136.69,0
832299,1,500.0,244.22,244.22,0.0,27.0,0.0,0
914104,1,3500.0,0.0,6.51,0.0,0.0,7.5,0
360061,1,21200.0,6272.25,2399.65,0.0,188.0,2000.0,0
81130,1,14000.0,6441.99,105.0,0.0,0.0,350.0,0
82238,2,24000.0,0.0,0.0,0.0,0.0,0.0,0
37245,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
549242,1,2000.0,2013.17,45.0,0.0,60.0,20.0,0
1019282,1,2000.0,1547.61,153.08,0.0,46.0,100.0,0
1040536,3,27000.0,0.0,0.0,0.0,0.0,0.0,0
642436,1,22000.0,5655.97,50.0,0.0,170.0,400.0,0
941791,1,14000.0,9509.74,414.89,0.0,285.0,278.0,0
1110991,1,2000.0,754.09,0.0,0.0,23.0,30.0,0
608744,1,22000.0,7301.69,432.86,188.95,219.0,216.0,0
1066233,1,18500.0,3147.34,1460.58,0.0,94.0,1000.0,0
573183,1,24000.0,0.0,0.0,0.0,0.0,0.0,0
1014457,3,13000.0,0.0,0.0,0.0,0.0,0.0,0
523224,1,11500.0,1441.61,335.01,0.0,0.0,500.0,0
444994,1,21000.0,30.0,30.0,0.0,27.0,30.0,0
505099,1,5800.0,0.0,784.96,0.0,0.0,1167.28,0
1061624,1,500.0,0.0,0.0,0.0,0.0,0.0,0
33827,1,26000.0,8578.23,35.67,0.0,0.0,400.0,0
1019550,1,500.0,144.49,922.01,45.8,27.0,833.92,0
494533,1,4750.0,0.0,0.0,0.0,0.0,0.0,0
436393,1,9500.0,-28.0,0.0,0.0,0.0,0.0,0
577163,1,500.0,0.0,0.0,0.0,0.0,0.0,0
219995,1,3000.0,1532.66,0.0,0.0,46.0,47.0,0
375370,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
297477,1,7500.0,4985.71,65.08,0.0,150.0,300.0,0
1004948,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1220306,1,1000.0,0.0,0.0,0.0,0.0,731.53,0
43873,1,500.0,0.0,0.0,0.0,0.0,0.0,0
305541,1,10000.0,0.0,0.0,0.0,0.0,2600.0,0
753631,1,5000.0,2.96,0.0,0.0,2.96,1384.64,0
66903,1,23000.0,18550.81,42.61,0.0,557.0,1000.0,0
397931,1,1000.0,395.64,169.07,0.0,27.0,125.92,0
985894,1,2000.0,1655.11,0.0,0.0,50.0,51.0,0
1176702,1,12500.0,6975.84,1075.46,0.0,0.0,621.0,0
902345,1,300.0,0.0,0.0,0.0,0.0,0.0,0
113888,1,2000.0,11.15,12.14,0.0,11.15,1487.57,0
652566,1,26800.0,1439.96,0.0,0.0,43.0,50.0,0
1081953,1,19000.0,702.43,0.0,0.0,27.0,3164.43,0
480007,1,3000.0,2259.41,126.0,0.0,0.0,75.0,0
541997,1,19000.0,0.0,0.0,0.0,0.0,0.0,0
813106,1,14000.0,412.12,536.23,0.0,27.0,454.87,0
40793,1,25000.0,6867.59,1259.26,0.0,0.0,1800.0,0
628544,1,25000.0,0.0,0.0,0.0,0.0,0.0,0
845149,1,2000.0,462.54,0.0,0.0,27.0,250.0,0
369179,2,15000.0,15187.28,573.19,0.0,450.0,703.0,0
1203824,1,3000.0,1323.1,400.82,59.25,40.0,0.0,0
721084,1,8000.0,7674.72,0.0,0.0,230.0,235.0,0
175648,1,6500.0,860.22,0.0,0.0,27.0,50.0,0
482272,1,6500.0,6359.69,125.55,0.0,191.0,200.0,0
215057,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
635126,1,5500.0,2418.0,0.0,0.0,73.0,125.0,0
904036,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
31700,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
187980,1,21000.0,700.54,295.3,0.0,0.0,331.88,0
180766,1,27000.0,0.0,99.67,0.0,0.0,316.37,0
912743,3,5000.0,145.11,145.11,0.0,0.0,0.0,0
893261,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
831984,1,9000.0,0.0,0.0,0.0,0.0,0.0,0
826451,1,500.0,0.0,0.0,0.0,0.0,0.0,0
754226,1,500.0,0.0,0.0,0.0,0.0,0.0,0
899934,1,500.0,494.74,0.0,0.0,0.0,54.0,0
1027861,1,4000.0,0.0,639.31,0.0,0.0,639.31,0
425896,1,22800.0,0.0,0.0,0.0,0.0,0.0,0
747763,1,21500.0,0.0,0.0,0.0,0.0,0.0,0
928901,1,3300.0,0.0,0.0,0.0,0.0,0.0,0
591896,1,20800.0,2125.94,0.0,0.0,64.0,500.0,0
549272,1,26800.0,1501.2,60.0,0.0,0.0,50.0,0
1196383,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
490540,1,27000.0,0.0,0.0,0.0,0.0,0.0,0
140946,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1122243,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
699790,2,25000.0,4008.84,531.06,0.0,120.0,300.0,0
258933,1,27500.0,0.0,38.97,0.0,0.0,38.97,0
751645,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
609814,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
301805,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
546467,1,26300.0,0.0,0.0,0.0,0.0,0.0,0
777190,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1209805,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1022783,1,1000.0,1034.14,0.0,0.0,60.0,60.0,0
842936,1,3500.0,3538.76,76.98,0.0,105.0,106.0,0
409757,4,7800.0,0.0,0.0,0.0,0.0,0.0,0
709440,1,27500.0,3723.63,0.0,0.0,112.0,200.0,0
710154,1,4500.0,0.0,0.0,0.0,0.0,0.0,0
404697,2,10000.0,6024.07,123.36,0.0,0.0,500.0,0
542006,1,19000.0,0.0,0.0,0.0,0.0,0.0,0
187992,1,21000.0,1198.27,0.0,0.0,0.0,140.0,0
375448,1,1000.0,170.52,377.84,0.0,27.0,207.32,0
454621,1,1000.0,589.38,218.78,0.0,27.0,600.0,0
1201926,1,2000.0,217.27,487.65,0.0,27.0,491.65,0
686942,1,2500.0,2223.9,0.0,0.0,67.0,68.0,0
1064847,1,18800.0,0.0,0.0,0.0,0.0,0.0,0
851884,1,26000.0,1003.45,1126.75,123.3,30.0,651.12,0
125779,1,10000.0,10084.52,240.99,0.0,300.0,350.0,0
378587,1,23800.0,3559.53,0.0,0.0,107.0,500.0,0
1115169,1,300.0,26.87,93.37,0.0,0.0,199.55,0
881627,1,21500.0,1857.72,0.0,0.0,0.0,100.0,0
558636,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
76538,1,5000.0,100.22,0.0,0.0,27.0,620.0,0
370799,1,1000.0,356.86,173.82,17.03,29.0,100.0,0
447612,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
584743,1,5000.0,3299.0,0.0,0.0,99.0,200.0,0
306831,3,13000.0,0.0,0.0,0.0,0.0,0.0,0
69132,7,2000.0,0.0,0.0,0.0,0.0,0.0,0
559286,1,9500.0,1030.03,1063.09,0.0,31.0,800.0,0
902641,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
974235,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
388881,1,2500.0,2377.57,0.0,0.0,71.0,0.0,0
304519,2,25000.0,0.0,0.0,0.0,0.0,0.0,0
705425,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
454349,1,300.0,281.57,40.0,0.0,27.0,50.0,0
1112831,1,2500.0,2508.39,226.65,0.0,75.0,100.0,0
506478,1,11500.0,1650.95,877.0,0.0,0.0,100.0,0
1049486,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
608904,1,1500.0,58.2,392.45,0.0,0.0,508.01,0
153509,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
694393,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
1140851,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
118243,1,4500.0,3811.48,289.58,0.0,114.0,108.0,0
918286,1,1500.0,0.0,59.56,0.0,0.0,109.56,0
1031702,1,1300.0,1206.04,0.0,0.0,36.0,200.0,0
768766,1,24000.0,389.39,389.39,0.0,27.0,0.0,0
1025755,1,300.0,171.51,171.95,0.0,27.0,195.0,0
761942,1,12000.0,8087.55,306.86,0.0,243.0,360.0,0
694278,3,5000.0,4933.5,532.69,0.0,132.0,299.87,0
279887,2,29100.0,156.19,156.19,0.0,0.0,397.73,0
650757,1,13500.0,29.86,0.0,0.0,27.0,200.0,0
616969,1,5000.0,5144.36,169.36,0.0,150.0,150.0,0
767435,1,300.0,211.59,39.3,0.0,0.0,30.0,0
524204,1,23000.0,593.1,0.0,0.0,27.0,174.0,0
1235585,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
186470,1,500.0,449.09,0.0,0.0,27.0,60.0,0
931319,1,500.0,82.59,639.94,0.0,0.0,618.14,0
745638,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
319132,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
527517,1,27000.0,293.67,609.7,0.0,27.0,352.77,0
1050556,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
777362,1,2500.0,486.45,0.0,0.0,27.0,200.0,0
563877,1,28300.0,0.0,0.0,0.0,0.0,0.0,0
368232,4,10800.0,0.0,0.0,0.0,0.0,0.0,0
267383,2,26500.0,0.0,0.0,0.0,0.0,0.0,0
230435,1,27000.0,0.0,0.0,0.0,0.0,0.0,0
164864,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
164106,1,500.0,474.23,0.0,0.0,27.0,30.0,0
887801,2,10000.0,9667.42,0.0,0.0,290.0,400.0,0
688763,1,1300.0,0.0,0.0,0.0,0.0,0.0,0
1047466,1,9500.0,59.37,59.37,0.0,27.0,97.1,0
774274,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
278038,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
958601,1,14000.0,0.0,0.0,0.0,0.0,0.0,0
419069,1,26500.0,0.0,0.0,0.0,0.0,0.0,0
438531,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
281380,2,11500.0,0.0,0.0,0.0,0.0,0.0,0
1088350,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
31111,2,24000.0,6429.7,951.54,0.0,193.0,1000.0,0
360377,1,18300.0,189.22,251.81,0.0,0.0,62.59,0
542029,2,23000.0,102.51,1421.19,0.0,27.0,1631.01,0
1137965,3,5000.0,0.0,0.0,0.0,0.0,0.0,0
74528,7,1300.0,0.0,0.0,0.0,0.0,0.0,0
614849,1,24000.0,436.58,436.58,0.0,27.0,438.74,0
987968,1,4000.0,1030.74,337.8,0.0,31.0,320.0,0
1150435,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
858800,1,2500.0,141.37,141.37,0.0,27.0,0.0,0
96488,1,26500.0,6560.32,716.24,0.0,522.0,0.0,0
242600,1,19000.0,0.0,0.0,0.0,0.0,0.0,0
42266,1,26000.0,2739.87,3600.42,67.38,82.0,2000.0,0
974397,1,300.0,0.0,0.0,0.0,0.0,0.0,0
1011230,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
290770,2,28500.0,3171.14,3171.14,0.0,95.0,1233.41,0
109857,1,26500.0,4106.11,380.0,0.0,123.0,400.0,0
111314,1,500.0,0.0,0.0,0.0,0.0,0.0,0
94389,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
932098,1,1000.0,487.49,248.21,0.0,27.0,50.0,0
211864,1,1000.0,315.19,0.0,0.0,27.0,50.0,0
626439,1,15000.0,0.0,0.0,0.0,0.0,0.0,0
54006,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
799059,1,300.0,0.0,0.0,0.0,0.0,0.0,0
191878,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
608546,1,26300.0,765.84,101.94,0.0,81.0,0.0,0
680098,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
908543,1,9000.0,0.0,0.0,0.0,0.0,0.0,0
168056,1,22500.0,0.0,0.0,0.0,0.0,0.0,0
507015,1,10500.0,9959.06,100.11,0.0,299.0,470.0,0
1058580,1,7500.0,0.0,0.0,0.0,0.0,0.0,0
243743,1,18500.0,224.38,224.38,0.0,29.0,215.84,0
497320,1,25000.0,20498.81,569.13,0.0,0.0,618.68,0
1204564,1,20500.0,6582.19,935.62,0.0,197.0,1000.0,0
1071427,1,800.0,0.0,0.0,0.0,0.0,0.0,0
388642,1,11500.0,-93.8,0.0,0.0,0.0,0.0,0
255855,1,2000.0,909.33,0.0,0.0,29.0,129.33,0
1021809,1,13500.0,7.59,1102.28,15.96,7.59,1240.91,0
251522,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
174982,1,28500.0,0.0,0.0,0.0,0.0,0.0,0
650460,1,26000.0,70.0,70.0,0.0,27.0,1.05,0
455838,6,8000.0,0.0,0.0,0.0,0.0,0.0,0
642373,2,25000.0,0.0,0.0,0.0,0.0,0.0,0
516929,1,21000.0,0.0,0.0,0.0,0.0,0.0,0
298924,3,14000.0,1120.15,606.97,0.0,34.0,900.0,0
174842,1,11000.0,0.0,0.0,0.0,0.0,0.0,0
758324,1,18000.0,0.0,0.0,0.0,0.0,0.0,0
784137,1,4000.0,2144.39,0.0,0.0,0.0,125.0,0
484592,2,7500.0,0.0,0.0,0.0,0.0,0.0,0
248450,3,16000.0,0.0,0.0,0.0,0.0,0.0,0
1069487,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
829255,1,17100.0,2999.91,569.02,11.26,90.0,100.0,0
442556,1,1000.0,961.03,0.0,0.0,29.0,40.0,0
590428,2,12000.0,535.19,548.1,12.91,27.0,817.48,0
467155,1,500.0,0.0,0.0,0.0,0.0,0.0,0
64655,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
473001,1,10000.0,5443.56,0.0,0.0,163.0,300.0,0
591176,1,1000.0,0.0,419.34,0.0,0.0,681.05,0
461332,1,2000.0,202.55,0.0,0.0,27.0,50.0,0
