,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
247866,3,8000.0,0.0,0.0,0.0,0.0,49.0,0
574537,1,25000.0,20.0,20.0,0.0,20.0,20.0,0
212888,1,2500.0,1127.1,0.0,0.0,34.0,35.0,0
721155,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1068770,1,8000.0,49.81,172.15,0.0,27.0,201.01,0
681187,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
1020608,1,18000.0,-58.87,224.44,0.0,0.0,500.0,0
433527,1,2000.0,0.0,219.05,0.0,58.0,180.0,0
655027,8,4000.0,0.0,0.0,0.0,0.0,0.0,0
571843,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1138573,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
643616,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
269941,2,26500.0,0.0,0.0,0.0,0.0,0.0,0
582944,1,21000.0,1375.24,1493.14,117.9,41.0,0.0,0
586592,1,28000.0,182.08,182.08,0.0,27.0,144.79,0
781205,2,5000.0,129.83,126.06,0.0,29.0,300.0,0
533635,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
377920,1,3000.0,2269.64,824.11,0.0,0.0,1000.0,0
620967,1,500.0,78.88,150.35,0.0,27.0,347.17,0
828994,1,1000.0,215.21,1087.74,99.0,0.0,1138.36,0
1013913,1,1000.0,285.63,285.63,0.0,27.0,0.0,0
740015,1,5000.0,1276.01,1005.36,0.0,38.0,260.0,0
219116,1,2500.0,559.96,74.02,0.0,0.0,27.0,0
375287,1,8500.0,85.14,521.98,0.0,0.0,470.43,0
1206637,1,9000.0,31.85,12.99,0.0,0.0,27.0,0
323808,1,5300.0,0.0,0.0,0.0,0.0,0.0,0
1127814,1,500.0,0.0,391.31,0.0,0.0,799.87,0
1144985,1,1000.0,415.34,261.85,0.0,0.0,27.0,0
1197504,1,28500.0,0.0,118.05,0.0,0.0,125.04,0
11513,2,27000.0,786.73,786.73,0.0,27.0,1202.69,0
550709,2,27800.0,1037.07,2034.48,0.0,31.0,1620.0,0
818934,1,4500.0,0.0,0.0,0.0,0.0,0.0,0
98998,1,1500.0,1210.07,164.06,0.0,36.0,50.0,0
161144,1,14000.0,6395.65,0.0,0.0,192.0,695.97,0
593978,1,300.0,0.0,0.0,0.0,0.0,0.0,0
619380,1,8600.0,7841.65,168.23,0.0,235.0,0.0,0
920917,1,500.0,502.87,51.97,0.0,54.0,0.0,0
108815,1,29500.0,8864.28,1181.23,0.0,266.0,286.59,0
678187,1,24000.0,-86.98,0.0,0.0,0.0,0.0,0
995750,1,25000.0,364.56,411.65,0.0,27.0,0.0,0
89287,1,10000.0,1292.08,587.32,0.0,39.0,250.0,0
667021,1,3000.0,1109.59,0.0,0.0,33.0,200.0,0
30645,1,5000.0,2297.79,3270.53,127.07,69.0,1031.34,0
760916,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
182619,1,13100.0,104.02,1321.02,0.0,0.0,1352.25,0
618835,1,26500.0,0.0,21.25,0.0,0.0,187.63,0
568696,1,8000.0,0.0,0.0,0.0,0.0,0.0,0
1137296,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
832157,1,3000.0,3128.13,57.0,0.0,180.0,0.0,0
69374,1,300.0,0.0,0.0,0.0,0.0,0.0,0
835647,2,26500.0,0.0,0.0,0.0,0.0,0.0,0
952805,1,25000.0,0.0,0.0,0.0,0.0,0.0,0
916718,1,18000.0,-0.22,0.0,0.0,0.0,16809.0,0
1151055,1,3500.0,865.01,424.91,0.0,0.0,27.0,0
979623,1,7000.0,3472.05,0.0,0.0,104.0,360.0,0
