,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
1138452,1,1000.0,743.28,62.83,0.0,27.0,54.0,0
411314,1,25300.0,3942.37,118.51,0.0,0.0,280.0,0
1165810,2,5000.0,0.0,0.0,671.01,0.0,262.2,0
27732,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
58285,1,26300.0,390.15,390.33,0.0,27.0,271.0,0
619715,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
442909,1,27000.0,13803.04,21.28,0.0,414.0,600.0,0
1008509,1,2500.0,2241.02,116.05,0.0,0.0,65.0,0
981975,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
1059910,1,6500.0,0.0,0.0,0.0,0.0,0.0,0
393853,3,27000.0,89.85,215.69,0.0,0.0,483.91,0
100489,1,12500.0,60.0,167.54,0.0,0.0,107.54,0
803771,1,29000.0,0.0,0.0,0.0,0.0,0.0,0
735906,2,7500.0,0.0,0.0,0.0,0.0,0.0,0
775021,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
628562,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
845809,1,3000.0,967.12,323.0,0.0,29.0,550.0,0
1076252,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1127808,1,300.0,44.72,138.37,0.0,27.0,317.06,0
1206883,1,300.0,179.45,89.11,19.15,29.0,58.0,0
876271,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
241467,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
1153646,1,11000.0,0.0,0.0,0.0,0.0,0.0,0
348331,1,3000.0,1707.28,37.4,0.0,51.0,55.0,0
159174,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
582601,1,10000.0,4465.27,0.0,0.0,134.0,250.0,0
1178287,1,500.0,-0.13,557.61,0.0,0.0,710.23,0
139803,1,25000.0,0.0,0.0,0.0,0.0,0.0,0
960243,1,13000.0,96.5,679.61,22.14,27.0,1051.11,0
1042579,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
840882,1,500.0,253.93,0.0,0.0,27.0,50.0,0
1151216,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
96222,1,1000.0,212.04,454.04,0.0,27.0,264.36,0
192104,1,5200.0,4569.67,0.0,0.0,137.0,150.0,0
