,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
939715,1,16000.0,11531.13,1056.86,0.0,346.0,900.0,0
931762,1,1000.0,988.61,0.0,0.0,0.0,30.0,0
1130195,1,22000.0,0.0,0.0,0.0,0.0,0.0,0
307681,1,29000.0,2249.33,2260.02,10.69,67.0,1503.78,0
935791,1,6400.0,6030.54,338.11,0.0,181.0,250.0,0
764627,1,1500.0,1361.47,0.0,0.0,41.0,200.0,0
577567,1,21500.0,2772.38,80.05,0.0,83.0,100.0,0
445907,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
673630,1,25000.0,16179.95,90.68,0.0,574.0,400.0,0
426261,4,11300.0,0.0,0.0,0.0,0.0,0.0,0
147771,2,5000.0,57.16,1208.49,12.68,27.0,1429.85,0
754932,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
1223678,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
93607,1,16500.0,4.26,312.09,0.0,0.0,307.83,0
422777,2,27000.0,127.89,127.89,0.0,29.0,89.13,0
549064,8,6000.0,0.0,0.0,0.0,0.0,0.0,0
556620,4,10800.0,0.0,0.0,0.0,0.0,0.0,0
979213,1,500.0,0.0,0.0,0.0,0.0,0.0,0
351650,3,25000.0,0.0,0.0,0.0,0.0,0.0,0
1213290,1,5000.0,2600.18,0.0,0.0,78.0,100.0,0
480530,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
1199123,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
112169,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
747866,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
549598,2,8000.0,89.76,68.99,0.0,47.0,0.0,0
7811,1,5000.0,4694.33,0.0,0.0,141.0,143.0,0
1113850,1,3500.0,2182.37,0.0,0.0,65.0,336.0,0
421884,4,5000.0,0.0,0.0,0.0,0.0,0.0,0
153823,1,19500.0,203.94,0.0,0.0,27.0,150.0,0
1117083,1,12350.0,12119.71,308.7,0.0,364.0,495.0,0
500913,1,16800.0,0.0,0.0,0.0,0.0,0.0,0
121197,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
285879,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1069520,1,4500.0,3709.33,0.0,0.0,111.0,113.0,0
213149,1,2000.0,4.17,0.0,0.0,4.17,0.0,0
119990,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
490896,1,12000.0,5240.75,2968.89,70.08,157.0,3500.0,0
1160576,1,300.0,102.48,624.71,0.0,27.0,565.73,0
601404,1,5100.0,1184.6,0.0,0.0,36.0,100.88,0
620264,1,5000.0,4821.11,169.43,0.0,145.0,150.0,0
489693,1,21800.0,8101.87,90.0,0.0,243.0,250.0,0
1033676,1,1000.0,21.6,1161.7,0.0,21.6,1260.5,0
848295,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
499996,2,21500.0,95.62,302.53,0.0,27.0,600.0,0
303421,1,4500.0,0.0,0.0,0.0,0.0,0.0,0
748072,1,7500.0,466.94,0.0,0.0,27.0,270.0,0
275109,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
340810,1,23500.0,22403.03,117.94,0.0,672.0,700.0,0
364503,1,5000.0,0.0,0.0,0.0,0.0,0.0,0
922760,1,500.0,0.0,0.0,0.0,0.0,0.0,0
1071224,1,500.0,140.16,220.74,0.0,27.0,144.79,0
339864,2,25000.0,44.64,76.73,0.0,27.0,32.09,0
969622,2,17000.0,62.46,62.46,0.0,0.0,227.79,0
405335,1,6250.0,0.0,0.0,0.0,0.0,0.0,0
617876,3,27000.0,0.0,0.0,0.0,0.0,0.0,0
731035,1,2500.0,1574.52,102.73,0.0,47.0,300.0,0
805116,1,2000.0,0.0,7.99,0.0,0.0,15.98,0
145974,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
663113,1,500.0,0.0,0.0,0.0,0.0,0.0,0
