,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
684154,1,11000.0,0.0,84.99,0.0,0.0,84.99,0
107946,1,10000.0,1687.02,42.78,0.0,51.0,50.0,0
10807,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
188640,3,15000.0,0.0,0.5,0.0,0.0,0.5,0
1108480,1,9800.0,0.0,0.0,0.0,0.0,45.46,0
410271,9,12800.0,0.0,0.0,0.0,0.0,0.0,0
407629,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
235985,1,7000.0,6736.41,27.76,0.0,202.0,445.0,0
292164,1,11500.0,862.03,952.03,44.0,27.0,819.94,0
681471,1,1300.0,0.0,0.0,0.0,0.0,0.0,0
679893,1,2500.0,0.0,0.0,0.0,0.0,0.0,0
1222200,1,500.0,80.21,0.0,0.0,0.0,27.0,0
783221,1,3400.0,0.0,0.0,0.0,0.0,0.0,0
1151714,1,750.0,753.31,33.93,0.0,27.0,30.0,0
1070745,1,13000.0,342.16,342.16,0.0,27.0,200.0,0
660534,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
919623,1,1000.0,304.17,287.28,0.0,0.0,412.37,0
1024373,1,1500.0,79.09,860.82,0.0,27.0,811.98,0
967595,1,7000.0,4597.89,144.22,0.0,138.0,200.0,0
1232626,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
813223,1,6000.0,0.0,0.0,0.0,0.0,0.0,0
55729,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1109336,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
402404,1,4000.0,9.01,27.38,0.0,0.0,27.4,0
1230949,1,500.0,125.41,558.84,0.0,27.0,474.97,0
37096,1,11000.0,0.0,0.0,0.0,0.0,0.0,0
33719,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
394590,1,25000.0,1581.3,1596.04,309.77,0.0,2500.0,0
1173170,1,500.0,55.19,0.0,0.0,0.0,70.0,0
36094,1,24100.0,839.89,839.89,0.0,27.0,764.29,0
213667,1,29000.0,0.0,0.0,0.0,0.0,0.0,0
249367,2,5000.0,0.0,0.0,0.0,0.0,0.0,0
