,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
690365,1,10000.0,2556.95,0.0,0.0,0.0,90.0,0
1193755,2,26500.0,367.97,1107.8,9.68,27.0,926.68,0
395911,1,25000.0,-241.3,91.88,0.0,0.0,0.0,0
1191861,1,4000.0,0.0,0.0,0.0,0.0,0.0,0
1057506,1,2000.0,8.25,8.25,0.0,8.25,8.25,0
1058793,7,1500.0,0.0,0.0,0.0,0.0,0.0,0
877842,1,5000.0,4096.93,127.46,0.0,123.0,277.46,0
923831,1,2000.0,1318.39,2318.39,0.0,40.0,1656.75,0
276212,2,9000.0,5958.61,214.01,13.99,179.0,210.0,0
477114,2,23800.0,0.0,0.0,0.0,0.0,0.0,0
469625,1,300.0,0.0,0.0,0.0,0.0,0.0,0
218348,1,500.0,0.0,0.0,0.0,0.0,0.0,0
282518,1,14000.0,6463.4,0.0,0.0,391.0,195.0,0
615566,2,15000.0,-2357.8,0.0,0.0,0.0,0.0,0
824616,1,7000.0,6037.04,0.0,0.0,181.0,603.92,0
943626,1,1000.0,29.36,84.22,0.0,27.0,54.86,0
1083859,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
836840,1,26300.0,0.0,0.0,0.0,0.0,327.42,0
167671,1,1500.0,0.0,0.0,0.0,0.0,0.0,0
204536,2,6000.0,350.8,350.8,0.0,27.0,0.0,0
966536,1,15000.0,3467.24,0.0,0.0,104.0,2000.0,0
235703,1,9000.0,0.0,0.0,0.0,0.0,0.0,0
210756,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
1007328,1,28000.0,319.63,0.0,0.0,27.0,100.0,0
864932,1,500.0,0.0,32.19,0.0,27.0,30.0,0
365609,1,24000.0,1104.38,0.0,0.0,33.0,200.0,0
996388,1,4000.0,1265.69,0.0,0.0,38.0,75.0,0
415347,1,14000.0,0.0,0.0,0.0,0.0,0.0,0
633503,3,26000.0,0.0,0.0,0.0,0.0,4.17,0
1075819,1,2000.0,62.99,396.96,0.0,0.0,366.82,0
259443,1,15000.0,283.67,245.4,0.0,27.0,85.0,0
429820,1,26800.0,714.64,0.0,0.0,27.0,200.0,0
428774,1,21000.0,158.68,2439.83,9.08,0.0,2290.28,0
1093007,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
820873,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
1197585,1,500.0,-0.55,223.33,0.0,0.0,260.42,0
644476,2,27000.0,897.13,897.13,0.0,27.0,418.92,0
921836,1,1000.0,497.5,260.01,0.0,27.0,300.0,0
1154148,2,6000.0,2346.66,0.0,0.0,70.0,100.0,0
401786,1,12000.0,8463.43,82.68,0.0,254.0,300.0,0
414753,2,10000.0,0.0,0.0,0.0,0.0,0.0,0
1113144,1,5000.0,1946.06,356.25,17.0,58.0,1000.0,0
1127284,1,2000.0,1900.09,832.41,0.0,57.0,189.0,0
698102,1,8500.0,0.0,0.0,0.0,0.0,0.0,0
775186,1,3500.0,3234.83,0.0,0.0,97.0,200.0,0
628270,1,500.0,0.0,0.0,0.0,0.0,27.0,0
661151,1,1000.0,167.82,562.36,0.0,27.0,955.32,0
745176,1,2000.0,1000.44,0.0,0.0,59.0,0.0,0
783770,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
218777,1,500.0,0.0,0.0,0.0,0.0,0.0,0
962024,1,2000.0,0.0,33.0,0.0,0.0,61.62,0
1178737,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
862312,1,26500.0,757.74,1414.17,320.99,27.0,2552.03,0
231759,1,3000.0,2366.41,90.0,0.0,71.0,500.0,0
336803,1,24000.0,6272.89,6516.29,0.0,188.0,486.8,0
910605,6,3500.0,0.0,0.0,0.0,0.0,0.0,0
9619,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
1163231,1,1000.0,125.48,0.0,0.0,60.0,0.0,0
391282,1,500.0,1054.52,0.0,0.0,54.0,54.0,0
1176382,1,2000.0,757.57,680.95,0.0,29.0,730.95,0
869052,1,17000.0,0.0,0.0,0.0,0.0,24.95,0
1127802,1,300.0,0.0,0.0,0.0,0.0,103.47,0
829787,1,1000.0,962.94,0.0,0.0,83.0,0.0,0
194291,1,9500.0,118.04,118.04,0.0,27.0,129.74,0
202525,2,17000.0,89.11,89.11,0.0,0.0,344.33,0
498499,1,20000.0,0.0,0.0,0.0,0.0,4.0,0
17323,1,25000.0,1313.49,137.8,0.0,39.0,200.0,0
