,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,Target
974111,1,10000.0,9461.71,0.0,0.0,0.0,291.0,0
1133774,1,1000.0,735.19,0.0,0.0,27.0,50.98,0
441922,1,5800.0,0.0,0.0,0.0,0.0,0.0,0
222384,1,28000.0,722.0,722.0,0.0,27.0,40.5,0
355734,1,14500.0,393.22,118.95,0.0,27.0,500.0,0
677231,2,21000.0,0.0,0.0,0.0,0.0,0.0,0
258021,1,3000.0,2919.02,172.6,0.0,88.0,125.7,0
367711,1,26300.0,6631.57,381.41,99.99,199.0,500.0,0
252494,1,12000.0,0.0,0.0,0.0,0.0,0.0,0
365457,1,2000.0,1154.4,352.06,0.0,0.0,245.0,0
480883,1,22500.0,0.0,0.0,0.0,0.0,0.0,0
166758,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
1002850,1,500.0,0.0,0.0,0.0,0.0,0.0,0
942055,2,9000.0,0.0,251.39,0.0,0.0,541.07,0
190143,3,27500.0,0.0,0.0,0.0,0.0,0.0,0
770000,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
772723,1,6200.0,4745.77,0.0,0.0,0.0,175.0,0
1155906,1,5000.0,3249.92,0.0,0.0,97.0,100.0,0
554344,1,1800.0,0.0,0.0,0.0,0.0,0.0,0
1140318,1,3000.0,2693.36,0.0,0.0,81.0,100.0,0
334029,1,28500.0,0.0,0.0,0.0,0.0,0.0,0
793503,1,500.0,0.0,0.0,0.0,0.0,0.0,0
414751,1,20000.0,0.0,0.0,0.0,0.0,0.0,0
1233481,1,8000.0,0.0,0.0,0.0,0.0,231.21,0
10575,1,5000.0,1790.22,0.0,0.0,54.0,1789.0,0
926416,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
760971,1,16000.0,8562.61,48.12,0.0,257.0,400.0,0
538317,9,6500.0,0.0,0.0,0.0,0.0,0.0,0
683777,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
359143,1,2000.0,2.99,59.87,0.0,0.0,56.88,0
853805,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
288784,1,500.0,655.77,0.0,0.0,54.0,54.0,0
396186,1,26000.0,0.0,0.0,0.0,0.0,0.0,0
703238,1,5500.0,0.0,0.0,0.0,0.0,0.0,0
983105,1,15000.0,0.0,0.0,0.0,0.0,0.0,0
1086987,1,10000.0,0.0,0.0,0.0,0.0,0.0,0
712168,1,2000.0,0.0,0.0,0.0,0.0,0.0,0
802533,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
929693,1,2000.0,1866.4,0.0,0.0,0.0,70.0,0
216603,4,5000.0,0.0,0.0,0.0,0.0,0.0,0
653080,1,3500.0,0.0,0.0,0.0,0.0,0.0,0
6580,1,23500.0,1574.83,151.24,0.0,47.0,200.0,0
78564,1,12800.0,3277.48,1267.04,0.0,0.0,300.0,0
1089408,1,2000.0,595.34,915.34,0.0,27.0,320.0,0
311584,1,21500.0,132.82,132.82,0.0,27.0,132.82,0
361726,1,7000.0,5134.42,249.1,0.0,154.0,150.0,0
910475,1,2000.0,809.64,827.54,0.0,27.0,400.0,0
226260,4,4300.0,0.0,0.0,0.0,0.0,0.0,0
485228,1,2500.0,793.16,0.0,0.0,54.0,0.0,0
690808,2,5000.0,0.0,0.0,0.0,0.0,0.0,0
175839,1,11500.0,0.0,0.0,0.0,0.0,0.0,0
692979,4,6250.0,0.0,0.0,0.0,0.0,0.0,0
544067,1,5000.0,488.19,576.84,2.99,29.0,175.0,0
328622,1,3000.0,2319.49,0.0,0.0,139.0,70.0,0
3429,1,19000.0,0.0,0.0,0.0,0.0,0.0,0
160831,1,27000.0,0.0,0.0,0.0,0.0,0.0,0
1208398,1,6500.0,0.0,95.79,0.0,0.0,95.79,0
1032538,2,22500.0,2112.21,2112.21,0.0,63.0,491.83,0
439919,1,24800.0,0.0,0.0,0.0,0.0,0.0,0
276839,1,7500.0,0.0,1951.6,0.0,132.0,1350.0,0
5487,1,27500.0,5934.62,150.0,0.0,178.0,500.0,0
839112,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
85459,1,1000.0,670.92,0.0,0.0,27.0,100.0,0
649764,1,10500.0,0.0,0.0,0.0,0.0,0.0,0
1067861,1,8300.0,469.76,584.13,0.0,27.0,1200.0,0
734072,1,16500.0,0.0,0.0,0.0,0.0,0.0,0
921257,1,16500.0,1619.66,1619.66,0.0,0.0,0.0,0
364487,1,5000.0,1853.42,0.0,0.0,110.0,0.0,0
65431,2,6500.0,-10.2,25.26,0.0,0.0,35.46,0
943310,1,1000.0,1044.3,1044.3,0.0,30.0,0.0,0
362588,1,1000.0,240.77,0.0,0.0,20.0,34.0,0
181220,1,3300.0,0.0,0.0,0.0,0.0,0.0,0
521420,1,29000.0,4344.05,3900.07,30.0,130.0,6000.0,0
279811,1,27000.0,554.91,554.91,0.0,29.0,460.96,0
1039792,1,4000.0,1120.74,0.0,0.0,34.0,40.0,0
124617,7,2000.0,1526.02,0.0,0.0,136.0,0.0,0
17167,1,7500.0,4338.13,451.44,0.0,130.0,1130.0,0
19750,1,2000.0,1006.56,493.06,50.0,30.0,900.0,0
1183223,1,1000.0,8.04,8.04,0.0,8.04,0.0,0
1225246,1,2000.0,1890.88,48.85,0.0,57.0,70.0,0
710789,1,8000.0,8151.83,272.96,0.0,473.0,0.0,0
761968,1,500.0,0.0,0.0,0.0,0.0,0.0,0
514867,1,300.0,0.0,0.0,0.0,0.0,0.0,0
842721,1,18500.0,1800.69,145.41,0.0,54.0,60.0,0
1028720,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
228713,10,6750.0,0.0,0.0,0.0,0.0,0.0,0
825356,1,2000.0,1352.58,21.25,0.0,41.0,228.34,0
797740,1,300.0,0.0,0.0,0.0,0.0,0.0,0
671680,1,15000.0,4946.09,0.0,0.0,148.0,500.0,0
48657,4,1500.0,0.0,0.0,0.0,0.0,0.0,0
861327,1,300.0,0.0,0.0,0.0,0.0,0.0,0
762665,1,16500.0,6578.53,0.0,0.0,0.0,202.0,0
467517,1,27600.0,3135.56,0.0,0.0,94.0,200.0,0
949697,1,500.0,315.95,202.47,0.0,27.0,199.85,0
183489,1,29000.0,0.0,0.0,0.0,0.0,0.0,0
511532,1,4300.0,0.0,0.0,0.0,0.0,0.0,0
792479,1,13500.0,0.0,0.0,0.0,0.0,0.0,0
542068,1,2000.0,90.36,451.95,0.0,0.0,400.0,0
295874,1,16300.0,0.0,0.0,0.0,0.0,0.0,0
1026427,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
426131,1,8000.0,7099.02,908.84,0.0,213.0,600.0,0
541910,1,14300.0,352.21,83.6,0.0,27.0,50.0,0
279466,2,27000.0,0.0,0.0,0.0,0.0,0.0,0
1118736,1,1000.0,0.0,0.0,0.0,0.0,0.0,0
189157,1,7000.0,0.0,0.0,0.0,0.0,0.0,0
70094,1,25000.0,548.93,548.93,0.0,27.0,456.76,0
167376,2,10000.0,0.0,0.0,0.0,0.0,91.48,0
919778,1,4500.0,4439.13,223.0,0.0,133.0,0.0,0
866531,1,3000.0,0.0,0.0,0.0,0.0,0.0,0
599047,4,12000.0,0.0,0.0,0.0,0.0,0.0,0
