,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
1227832,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
968941,1,2000.0,0.0,587.15,587.15,0.0,0.0,1,0.0,0
738951,2,29500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
935226,2,15000.0,149.41,5242.85,0.0,27.0,7490.59,1,0.0,0
655498,3,9500.0,7883.15,0.0,0.0,236.0,400.0,1,0.0,0
448343,1,1500.0,309.3,39.19,0.0,27.0,50.0,1,0.0,0
715864,1,10000.0,2840.26,0.0,0.0,85.0,125.0,1,0.0,0
140668,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
483614,2,14000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1188272,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1105.97,0
546376,1,19300.0,763.29,761.4,0.0,27.0,2659.49,1,0.0,0
476221,2,27500.0,2761.98,3029.25,40.43,83.0,2500.0,1,0.0,0
411028,1,4500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
390515,1,30000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
210732,1,10000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
526589,1,9800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
57201,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,2261.19,0
208637,1,1000.0,149.55,1273.99,0.0,29.0,1224.84,1,0.0,0
274614,1,10000.0,398.0,0.0,0.0,81.0,0.0,1,0.0,0
713525,1,8500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
224032,1,30000.0,0.0,8.0,0.0,0.0,0.0,3,0.0,0
785985,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
974435,2,8500.0,229.29,228.73,0.0,27.0,359.01,1,0.0,0
515307,2,7000.0,9.38,2829.56,23.54,9.38,2994.56,1,0.0,0
670252,11,3000.0,2310.5,1437.97,0.0,69.0,300.0,1,0.0,0
1128296,1,1000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
1153932,1,8000.0,7736.21,224.35,0.0,232.0,450.0,1,0.0,0
428633,1,3500.0,0.0,0.0,0.0,0.0,0.0,4,1984.89,0
17765,1,2000.0,605.65,0.0,0.0,27.0,100.0,1,0.0,0
268366,1,1500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
244183,4,3500.0,0.0,0.0,0.0,0.0,0.0,4,3418.42,0
1093352,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
677488,3,20000.0,82.71,82.71,0.0,27.0,77.88,1,0.0,0
298068,1,15000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
