,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
783242,1,3400.0,0.0,0.0,0.0,0.0,0.0,4,3381.82,0
429297,1,27300.0,2910.0,486.29,0.0,87.0,300.0,1,0.0,0
150465,1,300.0,132.85,341.79,0.0,29.0,256.36,1,0.0,0
19081,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
399060,1,8000.0,3419.02,207.28,0.0,103.0,98.0,1,0.0,0
69126,7,2000.0,0.0,0.0,0.0,0.0,0.0,4,1426.8,0
1197909,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
586868,1,10000.0,488.84,3333.99,64.24,27.0,3876.06,1,0.0,0
467769,1,14000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
97774,1,11500.0,5064.05,1822.59,37.44,152.0,1300.0,1,0.0,0
1019787,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3134.71,0
612304,2,20000.0,2833.56,2952.41,78.15,0.0,1887.19,1,0.0,0
779022,1,13000.0,1009.41,326.32,0.0,30.0,1000.0,1,0.0,0
769118,1,26500.0,0.0,115.0,0.0,0.0,115.0,1,0.0,0
913643,3,5000.0,4893.01,21.4,0.0,147.0,148.0,1,0.0,0
321542,1,500.0,195.39,327.94,0.0,27.0,500.0,1,0.0,0
1030218,1,1000.0,1002.07,6.98,0.0,86.0,0.0,1,0.0,0
514960,1,4000.0,2237.69,4071.37,0.0,67.0,3898.0,1,0.0,0
822550,1,2000.0,1924.69,80.1,0.0,58.0,86.04,1,0.0,0
885576,1,3000.0,2925.12,0.0,0.0,178.0,174.0,1,0.0,0
405576,1,26000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
811518,1,1000.0,1021.6,98.56,0.0,59.0,0.0,1,0.0,0
171264,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,1368.5,0
281909,1,4000.0,3915.18,83.54,0.0,117.0,240.0,1,0.0,0
385315,4,13300.0,0.0,0.0,0.0,0.0,0.0,4,810.2,0
803785,1,27500.0,3532.0,406.62,0.0,106.0,500.0,1,0.0,0
366014,1,24000.0,5099.41,207.25,0.0,153.0,300.0,1,0.0,0
694854,1,7500.0,7391.19,0.0,0.0,441.0,0.0,1,0.0,0
332969,1,1000.0,901.41,0.0,0.0,27.0,30.0,1,0.0,0
1008746,1,10000.0,8042.42,622.22,0.0,241.0,0.0,1,0.0,0
882641,1,500.0,491.13,416.81,0.0,27.0,80.0,1,0.0,0
950397,1,2000.0,1819.2,80.0,0.0,55.0,116.46,1,0.0,0
731978,1,2500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
477401,3,21000.0,1055.55,1171.84,116.29,32.0,960.06,1,0.0,0
836151,1,10500.0,0.0,10.91,0.0,0.0,21.82,1,0.0,0
500098,1,26300.0,3652.91,0.0,0.0,0.0,140.0,1,0.0,0
553081,1,13500.0,0.0,0.0,0.0,0.0,0.0,4,6894.64,0
1098031,10,500.0,0.0,0.0,0.0,0.0,0.0,4,418.06,0
111207,1,1000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
1093016,1,21500.0,-150.77,159.23,310.0,0.0,0.0,1,0.0,0
921770,3,5000.0,4873.85,147.91,0.0,0.0,198.0,1,0.0,0
1023515,1,500.0,8.51,88.27,0.0,8.51,79.76,1,0.0,0
232230,1,1000.0,1066.48,0.0,0.0,89.0,0.0,5,0.0,0
