,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
605341,2,22000.0,876.28,944.05,0.0,0.0,800.0,1,0.0,0
554553,1,2000.0,1461.3,0.0,0.0,86.0,0.0,2,0.0,0
887594,2,21000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
569171,1,12000.0,0.0,0.0,0.0,0.0,396.0,1,0.0,0
1034915,1,7500.0,5489.47,675.29,0.0,165.0,300.0,2,0.0,0
715567,1,16000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1181799,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
289419,2,15000.0,0.0,1087.78,0.0,27.0,1184.25,1,0.0,0
852708,1,2500.0,1720.37,45.17,0.0,52.0,100.0,1,0.0,0
1063263,1,500.0,25.25,279.71,14.52,25.25,353.63,1,0.0,0
152756,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1044273,1,18000.0,137.94,1011.36,85.19,0.0,898.7,1,0.0,0
970068,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1364.93,0
390796,1,5500.0,0.0,0.0,0.0,0.0,0.0,4,6203.17,0
133178,1,500.0,503.38,19.39,0.0,27.0,27.0,1,0.0,0
812094,2,6000.0,0.0,0.0,0.0,0.0,2.95,1,0.0,0
792073,1,12000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
134679,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1969.44,0
442217,1,7500.0,0.0,0.0,0.0,0.0,0.0,4,6942.14,0
955580,1,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
373496,1,4000.0,0.0,1350.24,0.0,0.0,1808.7,1,0.0,0
205691,1,10000.0,6352.31,371.67,0.0,191.0,250.0,1,0.0,0
951905,1,19500.0,4072.64,0.0,0.0,353.0,0.0,1,0.0,0
1076336,1,7500.0,3754.8,3583.2,0.0,0.0,2200.0,1,0.0,0
280516,1,10000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
896945,1,5000.0,2868.38,2862.37,1.11,86.0,2610.14,1,0.0,0
446209,8,750.0,0.0,0.0,0.0,0.0,0.0,4,323.9,0
955009,1,300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
492495,1,5000.0,1944.71,0.0,0.0,58.0,60.0,3,0.0,0
750245,1,1000.0,616.1,613.56,0.0,27.0,1000.13,1,0.0,0
1060181,1,3000.0,0.0,175.69,0.0,0.0,1241.28,1,0.0,0
1109127,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
909670,1,2500.0,2488.17,544.88,0.0,75.0,80.0,1,0.0,0
444383,1,4000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
399035,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1154748,1,2000.0,1996.0,20.89,0.0,0.0,60.0,1,0.0,0
1101237,1,5000.0,4690.32,0.0,0.0,141.0,150.0,1,0.0,0
129954,1,5000.0,3957.67,0.0,0.0,242.0,241.0,1,0.0,0
89196,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,86.11,0
421875,4,5000.0,0.0,0.0,0.0,0.0,0.0,4,5120.91,0
58917,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
921912,1,2500.0,269.35,824.08,0.0,27.0,554.73,1,0.0,0
563260,2,29300.0,120.09,152.11,18.9,27.0,13.12,1,0.0,0
1212568,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2054.19,0
125040,1,28000.0,28.0,28.0,0.0,28.0,158.76,1,0.0,0
1140273,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
387263,1,25000.0,18439.21,527.43,0.0,553.0,850.0,1,0.0,0
1074967,1,500.0,188.95,392.63,0.0,27.0,358.25,1,0.0,0
403323,1,500.0,390.91,0.0,0.0,27.0,40.0,1,0.0,0
760184,3,9500.0,-1912.85,851.81,0.3,0.0,6578.69,1,0.0,0
1034800,1,6000.0,86.14,86.14,0.0,27.0,0.0,1,0.0,0
586879,1,10000.0,2219.98,4404.12,148.37,67.0,5505.2,1,0.0,0
1036928,1,28300.0,29.95,768.51,0.0,0.0,738.56,1,0.0,0
800565,1,2500.0,665.96,2066.02,16.11,0.0,1560.13,1,0.0,0
185209,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
750515,1,5000.0,1851.09,853.86,146.14,56.0,100.0,1,0.0,0
476468,1,26300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
755477,1,28500.0,28507.37,641.36,0.0,855.0,854.0,1,0.0,0
1141754,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2312.88,0
1143961,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1200.33,0
841369,1,2000.0,1378.48,84.86,0.0,41.0,237.42,1,0.0,0
704132,1,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
674161,1,3500.0,93.82,93.82,0.0,27.0,41.33,1,0.0,0
1135960,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2215.86,0
766706,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
371544,1,9000.0,3309.28,0.0,0.0,99.0,169.0,1,0.0,0
915937,1,26500.0,1512.35,1810.59,0.0,45.0,910.0,1,0.0,0
431311,1,28500.0,2980.91,1043.96,0.0,89.0,800.0,1,0.0,0
1095927,1,3500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
723066,1,26000.0,545.04,545.04,0.0,0.0,525.09,1,0.0,0
266925,1,500.0,0.0,0.0,0.0,0.0,0.0,4,711.53,0
1053818,1,500.0,135.0,140.46,0.0,27.0,170.91,1,0.0,0
812277,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
400714,3,10000.0,2379.96,3044.75,0.0,0.0,679.64,1,0.0,0
381566,1,24500.0,0.0,0.99,0.0,0.0,1.98,1,0.0,0
910620,6,3500.0,0.0,0.0,0.0,0.0,0.0,4,22.26,0
61888,3,9800.0,10.0,46.4,0.0,0.0,83.14,1,0.0,0
662008,1,3000.0,2966.89,270.72,0.0,168.0,0.0,1,0.0,0
115881,1,5500.0,4019.92,0.0,0.0,121.0,123.0,3,0.0,0
791793,1,4000.0,2190.09,0.0,0.0,0.0,100.0,1,0.0,0
681785,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
788855,1,8500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
351930,1,2500.0,0.0,0.0,0.0,0.0,0.0,4,2368.6,0
1029400,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
673680,1,8000.0,0.0,0.0,0.0,0.0,0.0,4,9370.21,0
919250,1,500.0,483.22,86.0,0.0,0.0,35.0,1,0.0,0
154610,2,5000.0,0.0,0.0,0.0,0.0,0.0,4,5489.45,0
339872,2,25000.0,4946.71,108.05,0.0,148.0,1008.48,1,0.0,0
286636,2,9000.0,0.0,34.64,0.0,0.0,34.64,1,0.0,0
152248,3,19700.0,3217.15,1071.43,0.0,97.0,3275.0,1,0.0,0
1032957,1,2000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
1081160,1,5800.0,1025.79,1107.79,0.0,31.0,1500.0,1,0.0,0
1004340,1,29000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
897589,1,2000.0,0.0,0.0,0.0,0.0,1164.14,5,0.0,0
1178842,1,10000.0,0.0,0.0,0.0,0.0,0.0,4,9422.7,0
501676,1,20500.0,18930.23,808.87,0.0,568.0,600.0,1,0.0,0
1154558,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
143891,1,11000.0,9513.64,52.14,0.0,285.0,320.0,1,0.0,0
897453,3,12000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
932781,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
886620,1,1000.0,28.99,52.99,0.0,27.0,62.0,1,0.0,0
748404,1,300.0,288.36,24.76,0.0,54.0,0.0,1,0.0,0
1173013,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
422268,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
148806,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
368837,10,5750.0,0.0,0.0,0.0,0.0,0.0,4,1617.29,0
1206084,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
691068,1,26000.0,329.07,0.0,0.0,27.0,200.0,1,0.0,0
1184022,1,500.0,392.44,455.24,0.0,27.0,342.0,1,0.0,0
841482,1,2500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
741609,1,2000.0,1868.35,53.0,0.0,56.0,60.0,1,0.0,0
735154,2,18000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
755080,1,29300.0,178.59,1624.14,56.51,27.0,1566.36,1,0.0,0
200433,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,122.4,0
517298,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
601193,1,23000.0,925.59,1841.78,209.0,28.0,1027.58,1,0.0,0
1104437,1,6500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
832277,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3439.59,0
654454,1,23500.0,11545.88,756.09,582.09,346.0,1874.98,1,0.0,0
174552,1,3500.0,3496.86,38.07,0.0,105.0,105.0,1,0.0,0
936364,1,15000.0,2496.81,0.0,0.0,148.0,0.0,5,0.0,0
30959,1,300.0,0.0,0.0,0.0,0.0,0.0,4,103.4,0
1199418,1,5000.0,65.26,584.59,13.43,27.0,598.16,1,0.0,0
838443,1,500.0,497.59,38.32,0.0,27.0,27.0,1,0.0,0
450557,1,15500.0,15335.79,601.53,0.0,460.0,450.0,1,0.0,0
1136901,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1295.02,0
1094053,3,28000.0,13982.26,1495.55,52.98,0.0,500.0,1,0.0,0
831853,1,500.0,291.57,0.0,0.0,0.0,54.0,1,0.0,0
980462,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
524838,1,3500.0,2621.43,689.12,0.0,79.0,75.0,1,0.0,0
747740,1,800.0,683.75,17.19,0.0,27.0,35.0,1,0.0,0
655923,3,15500.0,2797.25,232.62,0.0,0.0,319.37,1,0.0,0
546835,2,23300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
818289,1,3000.0,1883.2,0.0,0.0,56.0,85.0,1,0.0,0
11354,1,500.0,413.18,0.0,0.0,29.0,0.0,1,0.0,0
815862,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
13809,1,1000.0,83.06,83.06,0.0,27.0,75.92,1,0.0,0
1213725,2,12000.0,-31.38,99.44,0.0,0.0,9197.0,1,0.0,0
1007902,1,11500.0,10654.53,13.09,0.0,320.0,1200.0,1,0.0,0
75740,1,2500.0,137.99,0.0,0.0,27.0,0.0,1,0.0,0
100949,1,6000.0,0.0,299.74,154.87,0.0,259.35,1,0.0,0
539276,1,26000.0,107.44,107.44,0.0,27.0,192.45,1,0.0,0
823796,1,2500.0,952.75,540.5,0.0,29.0,200.0,1,0.0,0
447895,1,5000.0,4381.32,0.0,0.0,487.0,150.0,5,0.0,0
862453,1,30000.0,933.0,0.0,0.0,28.0,100.0,1,0.0,0
735241,1,5000.0,3444.98,10.65,0.0,103.0,220.93,1,0.0,0
457214,1,26700.0,902.45,117.65,0.0,0.0,600.0,1,0.0,0
753269,4,10000.0,0.0,0.0,0.0,0.0,0.0,4,11133.2,0
169983,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2296.08,0
904281,1,10500.0,3227.37,31.15,0.0,0.0,1000.0,1,0.0,0
835812,1,5000.0,3372.61,101.47,0.0,0.0,175.0,1,0.0,0
83084,1,4000.0,2455.83,17.0,0.0,74.0,100.0,1,0.0,0
928424,1,300.0,341.93,98.3,0.0,54.0,0.0,1,0.0,0
1032787,1,8500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
