,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
598969,1,5000.0,1948.0,0.0,0.0,58.0,250.0,1,0.0,0
997835,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2098.31,0
428756,1,500.0,25.47,50.0,0.0,25.47,100.0,1,0.0,0
82923,1,24000.0,14168.5,68.05,0.0,425.0,1900.0,1,0.0,0
1181283,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
645856,1,24300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
781916,1,500.0,504.66,394.02,0.0,27.0,100.0,1,0.0,0
607481,2,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
185728,1,22000.0,599.52,469.84,0.0,0.0,50.0,1,0.0,0
519703,1,17000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
551701,1,3500.0,0.0,0.0,0.0,0.0,0.0,4,3520.44,0
701975,1,5000.0,3300.0,3300.0,0.0,99.0,0.0,1,0.0,0
1232393,11,1000.0,390.89,1284.99,0.0,12.0,939.78,1,0.0,0
992447,1,3000.0,611.65,0.0,0.0,20.0,20.0,3,0.0,0
152974,1,500.0,267.18,0.0,0.0,54.0,54.0,1,0.0,0
826466,1,4000.0,0.0,0.0,0.0,0.0,0.0,4,1792.29,0
69706,1,3500.0,1010.42,0.0,0.0,0.0,448.47,1,0.0,0
702825,1,8000.0,6444.93,0.0,8.48,193.0,200.0,1,0.0,0
1150243,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1193.67,0
1143829,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1647.75,0
848264,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2072.07,0
684921,1,3250.0,0.0,0.0,0.0,0.0,0.0,4,3315.31,0
438167,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
523553,1,13000.0,0.0,0.0,0.0,0.0,0.0,4,2362.56,0
