,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
159571,1,6000.0,638.89,1128.59,0.0,0.0,765.32,1,0.0,0
579756,1,5000.0,540.18,1277.64,0.0,27.0,978.14,1,0.0,0
351033,4,4250.0,0.0,0.0,0.0,0.0,0.0,4,4337.62,0
874054,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3531.49,0
962074,1,14500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
536127,4,5800.0,0.0,0.0,0.0,0.0,0.0,4,5776.79,0
251980,3,27000.0,4982.97,2570.57,0.0,149.0,500.0,1,0.0,0
208028,1,3500.0,0.0,0.0,0.0,0.0,0.0,4,3721.33,0
163815,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
281327,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
887498,1,2000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
554257,2,14000.0,2207.94,2207.94,0.0,0.0,2324.58,1,0.0,0
425942,1,28800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1087264,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3069.04,0
413047,1,3700.0,0.0,0.0,0.0,0.0,0.0,4,3311.26,0
502024,3,13500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
684675,1,15000.0,7422.19,0.0,0.0,223.0,400.0,5,0.0,0
309362,1,25500.0,403.25,423.13,0.0,27.0,600.0,1,0.0,0
423706,1,2000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
901540,1,300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
254859,2,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
182005,1,20000.0,3073.53,111.21,0.0,92.0,100.0,1,0.0,0
401162,1,21000.0,13192.84,143.05,0.0,396.0,400.0,1,0.0,0
242846,1,21500.0,7425.94,2158.31,0.0,379.0,0.0,1,0.0,0
973768,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1021896,1,3500.0,2574.04,0.0,0.0,77.0,100.0,3,0.0,0
850693,2,26000.0,52.54,52.54,0.0,27.0,14.46,1,0.0,0
161391,1,3200.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
415456,2,18500.0,13906.26,0.0,0.0,417.0,500.0,1,0.0,0
1061254,1,1000.0,943.85,39.99,0.0,28.0,75.0,1,0.0,0
825867,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
290559,1,3000.0,452.99,0.0,0.0,29.0,50.0,1,0.0,0
358830,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1223375,1,3500.0,364.08,0.0,0.0,29.0,100.0,1,0.0,0
243930,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,415.07,0
1184278,1,500.0,0.0,0.0,0.0,0.0,0.0,4,535.65,0
78245,1,5000.0,0.0,0.0,0.0,0.0,438.36,1,0.0,0
476602,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
786923,1,8000.0,3905.37,0.0,0.0,0.0,400.0,1,0.0,0
37921,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1232121,1,500.0,0.0,35.0,0.0,0.0,35.0,1,0.0,0
182102,1,3000.0,2927.97,26.18,0.0,88.0,89.0,1,0.0,0
787255,1,8000.0,0.0,373.5,0.0,0.0,512.84,1,0.0,0
55929,1,2000.0,1890.64,0.0,0.0,57.0,118.0,1,0.0,0
1025331,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1243.73,0
543252,1,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1081039,1,18000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
71637,1,2500.0,2149.6,0.0,0.0,64.0,66.0,2,0.0,0
1116735,1,28000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
656516,1,12300.0,7349.31,10.0,0.0,220.0,250.0,1,0.0,0
300563,1,7500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
527126,1,5000.0,4637.14,340.93,0.0,139.0,250.0,1,0.0,0
674407,1,14700.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
733150,1,1000.0,51.13,287.81,0.0,27.0,400.0,1,0.0,0
644417,1,26000.0,-1.2,19.0,0.0,0.0,162.61,3,0.0,0
919437,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2197.42,0
487901,3,8800.0,521.04,0.0,0.0,27.0,350.0,1,0.0,0
308436,3,10000.0,9896.89,0.0,0.0,547.0,335.0,1,0.0,0
1235735,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
516550,1,5000.0,2016.21,0.0,0.0,0.0,200.0,1,0.0,0
1021394,1,2000.0,159.55,159.55,0.0,27.0,202.52,1,0.0,0
955101,1,600.0,590.01,262.75,0.0,27.0,200.0,1,0.0,0
1029813,1,500.0,0.0,49.51,0.0,0.0,49.51,1,0.0,0
556210,3,5500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
473894,1,29500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
349251,1,7500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1132363,1,700.0,704.5,80.11,0.0,27.0,54.0,1,0.0,0
1227185,1,5000.0,1588.46,442.59,0.0,0.0,100.0,1,0.0,0
375051,2,25000.0,4582.0,1065.38,0.0,0.0,600.0,1,0.0,0
403789,1,500.0,0.0,628.86,0.0,0.0,1020.3,1,0.0,0
316620,1,27500.0,1241.44,1657.42,0.0,0.0,1500.0,1,0.0,0
797429,1,300.0,0.0,0.0,0.0,0.0,0.0,4,92.64,0
163176,9,10000.0,0.0,0.0,0.0,0.0,0.0,4,10299.53,0
283723,1,14000.0,0.0,744.22,0.0,27.0,1063.01,1,0.0,0
436516,1,5000.0,4996.66,195.61,0.0,150.0,147.0,1,0.0,0
1223511,1,500.0,351.13,99.71,0.0,27.0,100.0,1,0.0,0
324087,1,3000.0,127.7,734.06,0.0,27.0,673.16,1,0.0,0
382687,1,25200.0,11067.25,560.99,0.0,332.0,500.0,1,0.0,0
889067,1,500.0,98.82,178.88,0.0,0.0,230.21,1,0.0,0
891807,1,20000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1105790,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2348.79,0
48491,10,500.0,0.0,0.0,0.0,0.0,0.0,4,709.89,0
283513,1,20600.0,20015.65,475.98,0.0,600.0,1108.0,1,0.0,0
1120597,1,2500.0,2438.78,0.0,0.0,73.0,86.0,2,0.0,0
416345,1,4000.0,2949.7,777.27,0.0,88.0,1217.51,1,0.0,0
47725,1,2000.0,1593.37,0.0,0.0,48.0,110.0,1,0.0,0
187541,1,5000.0,4762.07,121.35,0.0,143.0,170.0,1,0.0,0
1023962,1,2800.0,0.0,0.0,0.0,0.0,0.0,4,253.46,0
734654,1,3000.0,1611.44,222.61,0.0,48.0,900.0,1,0.0,0
635457,1,9500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
584741,1,5000.0,2900.0,0.0,0.0,87.0,100.0,2,0.0,0
90341,2,5000.0,459.1,579.98,0.0,29.0,250.0,1,0.0,0
599166,3,11500.0,4083.49,2966.88,0.0,123.0,1500.0,1,0.0,0
546082,1,12000.0,0.0,0.0,0.0,0.0,0.0,4,547.24,0
1101565,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
291542,1,23000.0,22666.86,1245.11,0.0,680.0,1000.0,1,0.0,0
27427,1,11200.0,0.0,0.0,0.0,0.0,0.0,4,11168.21,0
786131,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1886.19,0
586493,2,20000.0,1996.55,1996.55,0.0,60.0,184.81,1,0.0,0
81197,7,22800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
878452,1,10000.0,0.0,0.0,0.0,0.0,0.0,4,11088.43,0
452963,1,11500.0,0.0,899.53,0.0,27.0,275.0,1,0.0,0
772194,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,4972.36,0
1225128,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
101806,1,300.0,0.0,222.37,0.0,0.0,222.37,1,0.0,0
585400,1,26300.0,3847.55,1605.4,0.0,180.0,0.0,1,0.0,0
919490,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,56.75,0
582565,1,8000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
584436,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
279835,1,27000.0,463.49,463.49,0.0,27.0,427.73,1,0.0,0
835774,1,1000.0,1056.08,0.0,0.0,60.0,60.0,3,0.0,0
325792,1,22800.0,2107.04,95.94,0.0,63.0,400.0,1,0.0,0
580196,1,1000.0,952.75,6.87,0.0,29.0,29.0,1,0.0,0
155760,1,14000.0,0.0,0.0,0.0,0.0,228.31,1,0.0,0
1094871,1,500.0,170.6,71.32,0.0,27.0,250.0,1,0.0,0
895162,1,7000.0,42.48,243.09,0.0,27.0,318.21,1,0.0,0
72735,1,3600.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1025859,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
1171051,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
809645,1,5000.0,0.0,0.0,0.0,0.0,1990.03,1,0.0,0
592560,1,8500.0,4945.07,0.0,0.0,148.0,200.0,1,0.0,0
971819,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
994982,1,1000.0,30.14,574.78,0.0,27.0,544.64,1,0.0,0
878840,1,1000.0,0.0,0.0,0.0,0.0,753.33,1,0.0,0
616290,1,9500.0,409.35,765.62,83.4,27.0,272.87,1,0.0,0
1226271,1,15500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
314152,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,5691.21,0
540558,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
323714,1,2200.0,1728.89,85.8,0.0,52.0,58.23,1,0.0,0
1102630,1,6000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
705370,1,1000.0,793.58,65.15,0.0,0.0,200.0,1,0.0,0
659421,1,500.0,0.0,604.83,0.0,0.0,604.83,1,0.0,0
1209532,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
640281,1,10000.0,4645.2,286.44,0.0,0.0,134.0,1,0.0,0
377129,8,2750.0,0.0,0.0,0.0,0.0,0.0,4,1832.71,0
737094,1,8000.0,1368.31,26.2,0.0,41.0,200.0,1,0.0,0
1039235,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3084.65,0
610592,1,19300.0,13058.24,1576.59,0.0,392.0,500.0,1,0.0,0
1006486,1,3000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
776402,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
483972,1,500.0,0.0,0.0,0.0,0.0,0.0,4,80.34,0
647864,2,18800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1207421,1,15000.0,5536.27,0.0,0.0,0.0,200.0,1,0.0,0
34012,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1171.66,0
978689,4,6300.0,0.0,0.0,0.0,0.0,0.0,4,4914.58,0
850873,2,27500.0,5084.4,5120.4,0.0,153.0,2887.68,1,0.0,0
265891,1,15000.0,7305.91,0.0,0.0,219.0,400.0,2,0.0,0
