,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
1127063,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1820.88,0
677434,1,9800.0,-61.62,30.0,0.0,0.0,45.81,1,0.0,0
142572,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
578352,1,5000.0,5044.45,314.21,0.0,150.0,145.0,1,0.0,0
1202282,1,2000.0,1338.12,8.06,0.0,40.0,100.0,1,0.0,0
925032,1,500.0,58.45,268.52,0.0,27.0,338.6,1,0.0,0
215321,2,25500.0,781.57,903.57,121.55,27.0,889.0,1,0.0,0
669198,1,22000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
794532,1,27000.0,2618.31,2704.15,21.06,79.0,3000.0,1,0.0,0
503384,1,3000.0,1406.97,0.0,0.0,42.0,100.0,1,0.0,0
562718,1,26500.0,16557.99,0.0,0.0,497.0,510.0,1,0.0,0
688552,2,29000.0,481.24,493.81,0.0,27.0,609.43,1,0.0,0
456916,3,10000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
216561,1,9000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
659243,1,14500.0,162.49,162.49,0.0,27.0,0.99,1,0.0,0
361608,3,10000.0,682.69,1204.71,8.53,27.0,1613.67,1,0.0,0
346766,1,2500.0,2401.33,42.56,0.0,72.0,80.0,1,0.0,0
596448,1,4500.0,3882.86,0.0,0.0,116.0,150.0,1,0.0,0
109541,1,1000.0,457.92,578.44,149.7,29.0,74.34,1,0.0,0
242401,9,17800.0,0.0,0.0,0.0,0.0,0.0,4,670.94,0
451009,1,2000.0,896.85,0.0,0.0,27.0,300.0,1,0.0,0
298860,1,2000.0,2053.24,91.67,0.0,117.0,0.0,1,0.0,0
527297,1,500.0,34.08,136.96,0.0,29.0,132.89,1,0.0,0
731453,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
252507,1,8000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
565816,1,500.0,0.0,0.0,0.0,0.0,0.0,4,86.9,0
760495,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2196.37,0
111693,1,5000.0,4899.82,397.8,0.0,147.0,175.0,1,0.0,0
932998,1,1000.0,968.59,238.92,0.0,29.0,85.0,1,0.0,0
1082348,2,7500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
562814,1,25500.0,259.12,259.12,0.0,27.0,0.0,1,0.0,0
636114,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3223.57,0
937298,1,1500.0,0.0,0.0,0.0,0.0,0.0,4,1745.0,0
