,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
212568,1,6500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
457637,1,5000.0,3563.1,36.47,0.0,0.0,200.0,1,0.0,0
370648,3,15500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
203202,1,300.0,176.18,0.0,0.0,81.0,0.0,1,0.0,0
953384,1,25500.0,5.24,5.24,0.0,0.0,0.0,1,0.0,0
352825,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
854405,3,20000.0,177.21,328.52,0.0,27.0,245.48,1,0.0,0
1167259,1,8000.0,7027.31,1437.2,0.0,211.0,172.0,1,0.0,0
568141,1,24000.0,1098.22,1098.22,159.0,33.0,901.26,1,0.0,0
945646,2,8500.0,8344.92,87.96,0.0,0.0,270.0,1,0.0,0
228511,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1045.22,0
365379,1,16000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
627650,2,20000.0,1538.77,1605.2,0.0,46.0,3500.0,1,0.0,0
1208013,1,1000.0,160.95,124.89,0.0,29.0,100.0,1,0.0,0
601024,2,12000.0,384.2,384.2,0.0,27.0,1021.3,1,0.0,0
331172,1,28300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
18679,2,26500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
923951,1,1000.0,328.77,0.0,0.0,54.0,0.0,1,0.0,0
21006,1,1000.0,400.0,0.0,0.0,29.0,348.0,1,0.0,0
720444,1,16800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
482731,1,25000.0,3870.02,384.0,0.0,116.0,200.0,1,0.0,0
1168734,1,500.0,0.0,67.57,0.0,0.0,154.81,1,0.0,0
1236609,1,500.0,481.94,37.69,0.0,0.0,28.0,1,0.0,0
97913,7,1000.0,0.0,0.0,0.0,0.0,0.0,4,1218.94,0
949569,1,300.0,222.5,70.0,0.0,0.0,50.0,1,0.0,0
222297,1,7000.0,0.0,0.0,0.0,0.0,0.0,4,7395.4,0
958478,2,5000.0,0.0,1541.15,0.0,28.0,700.0,1,0.0,0
790008,1,300.0,0.0,213.56,0.0,0.0,213.56,1,0.0,0
1100399,1,25500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
626950,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2214.19,0
353673,1,8000.0,6821.7,175.0,0.0,402.0,0.0,1,0.0,0
382171,1,25500.0,409.31,397.43,89.99,29.0,200.0,1,0.0,0
904190,1,500.0,250.36,656.37,0.0,27.0,600.0,2,0.0,0
1174974,1,5000.0,2722.34,0.0,0.0,82.0,187.0,1,0.0,0
772571,1,2000.0,1961.12,183.44,0.0,59.0,144.59,1,0.0,0
643736,2,28000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
850521,1,10000.0,9823.01,23.97,0.0,295.0,299.0,1,0.0,0
941429,2,10000.0,291.85,314.7,21.5,27.0,390.0,1,0.0,0
603646,1,7000.0,0.0,0.0,0.0,0.0,0.0,4,4290.28,0
967822,2,5000.0,1754.24,1754.24,0.0,53.0,1645.56,1,0.0,0
1230488,1,2500.0,2388.03,0.0,0.0,190.0,0.0,5,0.0,0
1226896,1,20000.0,4318.6,0.0,0.0,0.0,150.0,1,0.0,0
783754,1,4000.0,4045.96,85.32,0.0,120.0,120.0,1,0.0,0
267375,2,26500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
743804,1,24500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
69268,2,26000.0,5.99,255.99,0.0,0.0,250.0,1,0.0,0
392665,1,500.0,82.0,0.0,0.0,29.0,27.0,1,0.0,0
914597,1,1000.0,995.84,111.18,0.0,57.0,0.0,1,0.0,0
691217,1,19000.0,0.0,0.0,0.0,0.0,0.0,4,19458.62,0
155270,1,3000.0,2851.6,45.38,0.0,86.0,100.0,1,0.0,0
1095002,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
270316,1,3500.0,0.0,0.0,0.0,0.0,0.0,4,3230.82,0
204855,1,6000.0,2032.5,0.0,0.0,61.0,100.0,1,0.0,0
258810,3,24000.0,1810.59,1810.59,0.0,54.0,1607.57,1,0.0,0
149841,3,6500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
729078,3,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
436667,1,2750.0,179.45,0.0,0.0,60.0,61.93,5,0.0,0
1199734,1,1000.0,63.89,498.61,0.0,27.0,434.72,1,0.0,0
833286,4,1000.0,0.0,0.0,0.0,0.0,0.0,4,333.16,0
556807,4,12000.0,0.0,0.0,0.0,0.0,0.0,4,13035.88,0
447940,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1317.88,0
673698,1,13000.0,1202.98,0.0,0.0,36.0,300.0,1,0.0,0
555886,1,30000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
786450,3,18000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
880816,1,2000.0,41.76,81.76,0.0,27.0,53.98,1,0.0,0
559991,3,20000.0,213.4,1190.5,91.26,0.0,1419.73,1,0.0,0
1332,2,25000.0,146.62,155.5,2.99,27.0,242.34,1,0.0,0
1015962,1,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
443677,1,11500.0,0.0,2576.18,0.0,0.0,2576.18,1,0.0,0
447407,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
378184,1,27600.0,13965.93,2132.36,3.35,419.0,363.0,1,0.0,0
414573,1,3500.0,1093.74,0.0,0.0,33.0,200.0,1,0.0,0
859901,3,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1138700,1,500.0,0.0,128.68,0.0,0.0,177.33,1,0.0,0
742216,1,1000.0,3.86,0.0,0.0,3.86,0.0,5,0.0,0
1158902,1,500.0,48.35,456.09,0.0,27.0,450.0,1,0.0,0
721693,1,24000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
175598,1,24000.0,22581.1,0.0,0.0,677.0,541.0,1,0.0,0
277285,3,25500.0,325.51,605.32,0.0,27.0,279.81,1,0.0,0
718518,1,13000.0,9497.23,0.0,0.0,287.05,350.0,3,0.0,0
182229,10,1000.0,0.0,0.0,0.0,0.0,0.0,4,897.3,0
643166,1,22000.0,2632.11,269.25,0.0,79.0,500.0,1,0.0,0
980076,1,600.0,0.0,0.0,0.0,0.0,0.0,4,115.83,0
293330,1,26300.0,4229.72,0.0,0.0,127.0,0.0,1,0.0,0
1095997,1,5000.0,3786.82,985.22,0.0,114.0,1000.0,1,0.0,0
276483,1,15000.0,7429.89,0.0,0.0,0.0,0.0,1,0.0,0
1068148,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
114715,1,3000.0,1506.73,824.0,0.0,45.0,659.76,2,0.0,0
194417,1,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
355287,7,25300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
596927,3,25000.0,71.12,71.12,0.0,0.0,0.0,1,0.0,0
1220972,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
437904,1,14000.0,244.95,244.95,0.0,27.0,40.45,1,0.0,0
328815,1,1500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
189789,1,1500.0,370.32,295.37,23.43,0.0,500.0,1,0.0,0
563522,2,14000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
