,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
984616,3,12000.0,0.0,1252.97,0.0,0.0,1523.34,1,0.0,0
1208559,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
936165,3,8000.0,5138.26,0.0,0.0,154.0,350.0,1,0.0,0
484344,1,14000.0,0.0,8.73,0.0,0.0,53.09,1,0.0,0
769128,1,26500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
952089,2,8000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
426753,1,22500.0,573.87,265.66,0.0,0.0,200.0,1,0.0,0
1217587,1,4000.0,0.0,0.0,0.0,0.0,0.0,4,4229.31,0
322877,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1255.07,0
707351,1,26500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
548750,2,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1087912,1,2500.0,2368.42,0.0,0.0,71.0,147.0,1,0.0,0
689155,1,2000.0,1740.11,88.97,0.0,100.0,0.0,1,0.0,0
1160256,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1286.23,0
827577,1,2500.0,1978.23,739.12,36.2,0.0,400.0,1,0.0,0
1222449,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1163104,1,500.0,37.15,115.02,0.0,0.0,150.0,1,0.0,0
533033,1,28000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
848191,1,1500.0,0.0,0.0,0.0,0.0,0.0,4,1545.18,0
588892,1,27500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
900504,1,3500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
720674,1,500.0,0.0,0.0,0.0,0.0,0.0,4,991.02,0
164900,1,25000.0,18230.51,0.0,0.0,547.0,900.0,1,0.0,0
1111062,1,500.0,0.0,299.59,0.0,0.0,305.89,1,0.0,0
1062551,1,2000.0,1977.02,0.0,0.0,59.0,60.0,1,0.0,0
810644,1,1500.0,1126.11,51.1,0.0,34.0,120.0,1,0.0,0
1096386,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2056.38,0
369156,1,12000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
780341,1,3000.0,2936.73,262.24,0.0,0.0,150.0,1,0.0,0
1113046,1,500.0,0.0,0.0,0.0,0.0,197.71,1,0.0,0
1074123,1,8000.0,0.0,861.06,0.0,0.0,861.06,1,0.0,0
968188,1,2000.0,0.0,171.96,0.0,0.0,196.96,1,0.0,0
545117,1,8500.0,0.0,0.0,0.0,0.0,0.0,4,6891.73,0
1089936,8,1000.0,0.0,0.0,0.0,0.0,0.0,4,877.43,0
488550,1,22000.0,-21.29,0.0,0.0,0.0,0.0,1,0.0,0
239331,1,17000.0,264.38,264.38,0.0,27.0,182.58,1,0.0,0
446654,1,21000.0,1721.83,1110.16,0.0,52.0,2500.0,1,0.0,0
1048821,1,1800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1216934,1,3000.0,1032.23,1041.59,0.0,0.0,200.0,1,0.0,0
1094488,1,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
31040,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,1891.67,0
238242,1,500.0,317.59,285.29,0.0,27.0,250.0,1,0.0,0
1116534,1,500.0,21.31,21.31,0.0,21.31,0.0,1,0.0,0
746350,1,3000.0,1321.09,0.0,0.0,40.0,100.0,1,0.0,0
708825,2,13300.0,1171.26,1172.09,0.0,0.0,377.0,1,0.0,0
481467,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2009.25,0
326322,1,26300.0,148.14,1806.24,0.0,27.0,1658.1,1,0.0,0
185845,1,2000.0,193.45,0.0,0.0,27.0,50.0,1,0.0,0
1224647,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2172.68,0
