,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
109974,1,1000.0,159.74,112.09,0.0,29.0,200.0,1,0.0,0
638569,1,13500.0,283.88,0.0,0.0,27.0,300.0,1,0.0,0
1000592,1,500.0,581.42,28.38,0.0,46.0,20.0,1,0.0,0
364680,1,7000.0,1949.96,201.8,0.0,58.0,200.0,1,0.0,0
818287,1,3000.0,2.71,369.34,0.0,2.71,2185.45,1,0.0,0
374769,1,28000.0,1208.87,348.16,3.14,36.0,200.0,1,0.0,0
404266,1,17800.0,1127.94,1127.94,0.0,0.0,3099.96,1,0.0,0
975393,1,8500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1030345,3,10000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1105812,1,1000.0,158.05,470.06,0.0,27.0,563.98,1,0.0,0
804326,1,500.0,246.76,96.45,0.0,27.0,122.47,1,0.0,0
819299,1,12500.0,7876.23,0.0,0.0,236.0,241.0,1,0.0,0
611664,2,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
933999,1,19000.0,-27.39,0.0,0.0,0.0,0.0,1,0.0,0
709665,1,2000.0,1314.98,0.0,0.0,39.0,0.0,1,0.0,0
927246,4,4800.0,0.0,0.0,0.0,0.0,0.0,4,3742.92,0
443885,1,26000.0,17974.13,41.99,0.0,539.0,1500.0,1,0.0,0
782340,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1558.66,0
610488,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
720797,1,27300.0,1567.76,1567.76,0.0,0.0,525.26,1,0.0,0
523631,1,25300.0,15550.37,368.65,0.0,467.0,400.0,1,0.0,0
337462,6,28000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
166314,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2191.12,0
484909,1,12500.0,2663.59,0.0,0.0,80.0,350.0,1,0.0,0
109204,1,2000.0,1939.2,82.5,0.0,58.0,63.0,1,0.0,0
81126,1,14000.0,6017.33,0.0,0.0,181.0,450.0,1,0.0,0
230785,2,5000.0,0.0,0.0,0.0,0.0,207.6,1,0.0,0
600559,1,500.0,349.66,606.37,297.0,27.0,300.0,1,0.0,0
839493,1,5000.0,5014.19,528.86,0.0,150.0,500.0,2,0.0,0
920642,1,1000.0,730.09,0.0,0.0,27.0,200.0,1,0.0,0
341163,1,25000.0,1303.63,1304.5,0.0,39.0,839.0,1,0.0,0
564643,2,27000.0,379.93,1903.82,0.0,0.0,1385.03,1,0.0,0
689645,1,2500.0,2026.21,0.0,0.0,61.0,0.0,1,0.0,0
294613,1,2000.0,681.82,0.0,0.0,20.0,40.0,5,0.0,0
1095134,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
411636,2,5000.0,2637.91,1135.53,321.0,79.0,1000.0,1,0.0,0
1124988,3,25000.0,339.25,448.24,0.0,0.0,382.04,1,0.0,0
1016181,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
428921,4,12000.0,0.0,0.0,0.0,0.0,0.0,4,4402.56,0
130031,2,20000.0,-0.21,0.0,0.0,0.0,230.0,1,0.0,0
