,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
422519,1,11900.0,8260.17,17.33,0.0,248.0,253.0,1,0.0,0
1166777,1,1500.0,0.0,0.0,0.0,0.0,529.39,1,0.0,0
379368,1,2300.0,1990.54,95.65,0.0,60.0,58.0,1,0.0,0
563956,1,5450.0,0.0,0.0,0.0,0.0,0.0,4,607.29,0
821018,1,500.0,0.0,0.0,0.0,0.0,0.0,4,1837.52,0
536691,1,11500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
726268,1,13000.0,0.0,0.0,0.0,0.0,0.0,4,13636.38,0
709233,7,16500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
877411,1,5500.0,4004.98,186.27,0.0,120.0,20.0,1,0.0,0
890815,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3542.07,0
33637,1,15000.0,10720.0,0.0,0.0,640.0,0.0,1,0.0,0
1182415,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
594394,1,14000.0,1428.36,1578.65,150.29,0.0,502.05,1,0.0,0
875822,1,7500.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
1226324,1,4000.0,0.0,0.0,0.0,0.0,0.0,4,4042.65,0
933316,1,2000.0,1924.45,112.88,0.0,58.0,250.0,1,0.0,0
830468,1,7500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
210271,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2228.21,0
509126,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1788.82,0
1177562,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
688081,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1043518,7,5000.0,0.0,0.0,0.0,0.0,0.0,4,5530.37,0
627759,1,15000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
676575,2,26500.0,160.68,311.09,7.5,27.0,167.86,1,0.0,0
457631,1,5000.0,4650.93,93.69,0.0,0.0,300.0,1,0.0,0
304457,2,26800.0,1125.19,1125.19,0.0,34.0,543.71,1,0.0,0
686179,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2313.56,0
342368,2,28800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1080243,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1349.52,0
559480,1,3000.0,2732.5,0.0,0.0,82.0,120.0,1,0.0,0
1049237,1,300.0,0.0,0.0,0.0,0.0,0.0,4,67.73,0
854363,1,27000.0,6661.73,425.61,0.0,200.0,200.0,1,0.0,0
1205675,1,10000.0,0.0,249.8,0.0,0.0,249.8,1,0.0,0
529776,1,14000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
659343,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
153527,1,13000.0,0.0,0.0,0.0,0.0,0.0,4,13850.83,0
586045,1,6500.0,1045.87,201.03,23.74,31.0,100.0,1,0.0,0
354752,1,26300.0,284.96,284.96,0.0,27.0,373.39,1,0.0,0
43141,3,27000.0,247.07,157.04,0.0,0.0,200.0,1,0.0,0
1172353,1,500.0,226.69,99.61,0.0,29.0,50.0,1,0.0,0
34758,1,8000.0,1764.9,0.0,0.0,53.0,60.0,1,0.0,0
206097,1,25800.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
668703,3,27300.0,7775.2,482.84,0.0,233.0,300.0,1,0.0,0
298892,1,7500.0,1053.45,0.0,0.0,0.0,200.0,1,0.0,0
488255,1,14000.0,14.55,116.83,0.0,0.0,168.55,1,0.0,0
710026,1,2000.0,886.22,0.0,0.0,27.0,30.0,1,0.0,0
339310,1,5000.0,3769.98,5118.59,0.0,113.0,2200.0,1,0.0,0
1164847,1,2000.0,924.73,0.0,0.0,28.0,50.0,5,0.0,0
1039485,1,300.0,0.0,0.0,0.0,0.0,0.0,4,111.54,0
398280,1,29500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
378869,1,2500.0,2378.94,97.16,0.0,71.0,142.0,1,0.0,0
1052764,2,8000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
614511,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
649554,1,23800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
384683,3,25000.0,1514.33,1514.68,0.0,45.0,3634.0,1,0.0,0
1090760,1,500.0,0.0,0.0,0.0,0.0,0.0,4,716.56,0
876356,1,2500.0,0.0,0.0,0.0,0.0,1431.8,1,0.0,0
993307,1,7500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
327213,2,10000.0,4278.56,21.83,0.0,253.0,0.0,1,0.0,0
38383,1,26000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
1211703,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1196.61,0
760163,1,6000.0,0.0,0.0,0.0,0.0,0.0,4,6199.16,0
982440,3,18500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1151174,1,500.0,222.25,524.32,0.0,29.0,320.0,1,0.0,0
382376,1,27000.0,187.45,309.85,0.0,0.0,646.37,1,0.0,0
730658,8,8750.0,0.0,0.0,0.0,0.0,0.0,4,4772.09,0
796871,1,3000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
379693,1,2500.0,804.93,301.11,0.0,0.0,50.0,1,0.0,0
821401,1,2000.0,907.76,257.11,0.0,54.0,0.0,1,0.0,0
142320,1,300.0,0.0,0.0,0.0,0.0,98.65,1,0.0,0
939455,1,300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
838768,1,15000.0,16.19,16.19,0.0,16.19,16.19,1,0.0,0
868659,1,2000.0,68.5,137.38,0.0,27.0,68.88,1,0.0,0
225939,1,23500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
339864,2,25000.0,44.64,76.73,0.0,27.0,32.09,1,0.0,0
745881,1,300.0,0.0,0.0,0.0,0.0,0.0,4,110.19,0
774253,1,2000.0,1283.19,9.68,0.0,0.0,100.0,1,0.0,0
369930,1,19000.0,8749.58,0.0,0.0,262.0,270.0,1,0.0,0
108548,1,17000.0,4523.72,0.0,0.0,136.0,250.0,1,0.0,0
747807,1,7000.0,6259.72,93.96,0.0,188.0,250.0,2,0.0,0
745192,1,2000.0,1213.45,0.0,0.0,36.0,40.0,5,0.0,0
1179776,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1047.94,0
640032,1,5500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1169712,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1397.15,0
128891,1,26300.0,33.31,453.7,0.0,27.0,577.07,1,0.0,0
682399,2,12000.0,482.67,778.82,0.0,27.0,1385.23,1,0.0,0
543309,1,30000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
179792,2,29500.0,74.17,798.7,0.0,0.0,888.88,1,0.0,0
666571,1,1200.0,979.08,0.0,0.0,57.0,0.0,2,0.0,0
206128,1,3500.0,3153.09,5.0,0.0,95.0,97.0,1,0.0,0
748988,1,2000.0,1064.28,0.0,0.0,32.0,50.0,1,0.0,0
164634,1,300.0,182.42,0.0,0.0,0.0,29.0,1,0.0,0
182803,1,10000.0,7073.44,40.95,0.0,212.0,250.0,1,0.0,0
82803,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1226348,1,500.0,314.68,91.67,0.0,54.0,0.0,2,0.0,0
35757,1,500.0,25.0,490.73,0.0,0.0,792.33,1,0.0,0
322818,2,11000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
428414,1,14000.0,3581.91,0.0,0.0,107.0,542.0,1,0.0,0
1003140,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
617290,1,4300.0,0.0,0.0,0.0,0.0,0.0,4,4243.5,0
108939,1,5000.0,441.01,0.0,0.0,0.0,35.0,1,0.0,0
740856,1,10000.0,9286.71,0.0,0.0,279.0,300.0,2,0.0,0
580265,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,2343.41,0
400466,1,5000.0,3649.56,150.81,0.0,109.0,300.0,1,0.0,0
592353,1,10000.0,2567.33,0.0,0.0,77.0,105.24,1,0.0,0
732744,1,6000.0,283.28,0.0,0.0,27.0,250.0,1,0.0,0
814206,2,12000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
49134,1,27500.0,15.3,655.92,156.42,15.3,950.82,1,0.0,0
168405,1,3500.0,0.0,0.0,0.0,0.0,0.0,4,3372.95,0
628370,1,12000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
577834,1,15000.0,12449.09,232.6,0.0,373.0,1400.0,1,0.0,0
828708,1,2500.0,1903.61,1800.3,0.0,57.0,110.0,1,0.0,0
718649,1,300.0,0.0,0.0,0.0,0.0,0.0,4,586.38,0
450602,1,22500.0,2068.11,0.0,0.0,62.0,500.0,2,0.0,0
421862,4,5000.0,0.0,0.0,0.0,0.0,0.0,4,5120.91,0
48953,1,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
359251,2,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
475648,1,11500.0,5049.03,132.5,0.0,151.0,151.0,1,0.0,0
908132,2,23000.0,4663.69,4663.69,0.0,0.0,2974.49,1,0.0,0
75951,1,2000.0,1794.81,0.0,0.0,54.0,55.0,1,0.0,0
586879,1,10000.0,2219.98,4404.12,148.37,67.0,5505.2,1,0.0,0
1012751,1,700.0,467.06,15.96,0.0,27.0,100.0,1,0.0,0
243527,1,300.0,0.0,0.0,0.0,0.0,0.0,4,355.93,0
1113782,1,5000.0,2885.07,0.0,0.0,87.0,0.0,1,0.0,0
204585,2,5000.0,4951.77,0.0,0.0,149.0,150.0,1,0.0,0
1141224,1,2000.0,217.5,0.0,0.0,54.0,27.0,3,0.0,0
903947,1,500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
133989,3,29500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1132430,1,500.0,137.59,0.0,0.0,29.0,75.0,1,0.0,0
1093576,1,1500.0,0.0,0.0,0.0,0.0,274.88,5,0.0,0
530295,2,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1066145,1,3000.0,2377.44,0.0,0.0,275.0,0.0,3,0.0,0
716478,1,24000.0,1459.73,229.28,0.0,44.0,300.0,1,0.0,0
135383,1,27000.0,26250.97,970.68,0.0,788.0,550.0,1,0.0,0
