,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
187357,1,25500.0,2142.93,0.0,0.0,0.0,75.42,1,0.0,0
634480,1,5000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
357136,1,3000.0,0.0,0.0,0.0,0.0,141.59,1,0.0,0
1060481,1,7000.0,0.0,0.0,0.0,0.0,0.0,4,5566.41,0
90258,1,10000.0,3805.15,175.32,0.0,114.0,400.0,1,0.0,0
756686,1,3000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
904628,2,20000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
914892,1,5500.0,0.0,0.0,0.0,0.0,0.0,4,5858.31,0
1091287,1,1000.0,2452.05,0.0,0.0,30.0,30.0,1,0.0,0
446056,1,24000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
301286,1,8000.0,4255.72,0.0,0.0,0.0,400.0,1,0.0,0
1115116,1,2000.0,0.0,0.0,0.0,0.0,766.06,1,0.0,0
701879,1,30000.0,73.51,899.0,0.0,27.0,29635.39,1,0.0,0
892218,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1204.11,0
120669,1,2500.0,0.0,0.0,0.0,0.0,0.0,4,1420.68,0
527912,1,2500.0,14.54,25.32,0.0,0.0,2363.5,1,0.0,0
1132863,1,500.0,93.1,0.0,0.0,27.0,110.0,1,0.0,0
214731,1,25000.0,244.05,184.09,0.0,0.0,36.0,1,0.0,0
704931,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
334229,1,800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1166262,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
681102,1,1000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
744698,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1067.13,0
242013,4,11300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
593526,1,7500.0,0.0,0.0,0.0,0.0,0.0,4,7691.67,0
487746,1,20000.0,0.0,0.0,0.0,0.0,0.0,4,10172.01,0
1190525,1,500.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
