,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
617115,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
653944,1,29000.0,16176.92,0.0,0.0,485.0,0.0,1,0.0,0
677149,7,23800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
994516,4,3300.0,0.0,0.0,0.0,0.0,0.0,4,3798.32,0
300906,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,1927.51,0
108518,1,1000.0,513.69,412.24,0.0,27.0,9.0,1,0.0,0
648771,2,13800.0,139.8,139.8,0.0,27.0,0.0,1,0.0,0
202398,1,3000.0,1626.48,385.89,0.0,49.0,187.93,1,0.0,0
839627,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1197.91,0
586745,10,2000.0,0.0,0.0,0.0,0.0,0.0,4,1092.65,0
331094,1,28300.0,197.14,197.14,0.0,29.0,177.04,1,0.0,0
786829,1,20000.0,213.87,795.3,0.0,27.0,581.43,1,0.0,0
361003,1,7500.0,293.08,1532.37,0.0,27.0,1589.0,1,0.0,0
1036583,1,300.0,184.46,0.0,0.0,27.0,50.0,1,0.0,0
985054,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
499012,1,17000.0,0.0,268.02,0.0,0.0,511.98,1,0.0,0
1204078,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,5305.21,0
508248,1,29000.0,-20.33,26.7,0.0,0.0,0.0,1,0.0,0
565223,1,16500.0,0.0,0.0,0.0,0.0,162.92,1,0.0,0
331189,1,28300.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
573938,1,18000.0,4638.15,0.0,0.0,139.0,175.0,5,0.0,0
209150,3,23000.0,2176.35,2099.9,121.95,0.0,1000.0,1,0.0,0
214136,1,25300.0,0.0,18.26,0.0,0.0,18.26,1,0.0,0
296180,1,5000.0,1053.98,1507.02,0.0,32.0,1402.06,1,0.0,0
543314,1,7500.0,3394.14,0.0,0.0,102.0,150.0,2,0.0,0
289749,1,16500.0,3812.78,549.38,0.0,0.0,150.0,1,0.0,0
746757,1,19500.0,0.0,75.2,0.0,0.0,1405.33,1,0.0,0
1013765,1,17500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
584078,1,24000.0,11709.73,716.83,0.0,0.0,338.0,1,0.0,0
520386,1,10800.0,0.0,0.0,0.0,0.0,0.0,4,4435.52,0
386732,1,25000.0,21841.34,856.42,0.0,655.0,700.0,1,0.0,0
1011791,1,15000.0,12840.64,45.53,0.0,385.0,500.0,1,0.0,0
905889,1,3000.0,61.25,25.85,0.0,0.0,39.0,1,0.0,0
309634,3,25500.0,4903.79,4930.53,26.74,0.0,2593.01,1,0.0,0
457799,2,23500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
162381,3,10000.0,1899.56,2041.18,0.0,57.0,800.0,1,0.0,0
1127870,1,500.0,0.0,152.81,0.0,0.0,237.51,1,0.0,0
384422,1,6225.0,0.0,0.0,0.0,0.0,0.0,4,6175.66,0
575026,1,17500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1139017,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1313.34,0
967080,1,3500.0,2155.42,0.0,0.0,128.0,0.0,5,0.0,0
391091,1,4500.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
252907,2,25500.0,717.26,717.26,0.0,0.0,1057.81,3,0.0,0
532548,1,29000.0,6085.25,0.0,0.0,183.0,300.0,1,0.0,0
541620,1,20000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
533360,1,26500.0,1142.86,172.96,0.0,34.0,100.0,1,0.0,0
1037597,1,9500.0,9106.37,0.0,0.0,273.0,279.0,1,0.0,0
875009,1,1800.0,1632.9,0.0,0.0,49.0,50.0,1,0.0,0
755893,1,12800.0,20.29,73.22,53.74,20.29,106.0,1,0.0,0
152378,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1300.05,0
313994,1,5000.0,3553.83,605.19,0.0,107.0,110.0,1,0.0,0
1122037,1,500.0,67.5,512.01,0.0,27.0,463.7,1,0.0,0
309541,1,5500.0,2634.81,99.96,0.0,79.0,250.0,1,0.0,0
1130744,1,1000.0,588.32,762.47,31.94,27.0,924.0,1,0.0,0
470972,1,500.0,93.3,26.56,0.0,27.0,50.0,1,0.0,0
976729,1,5000.0,3004.45,0.0,0.0,90.0,0.0,1,0.0,0
579913,1,7100.0,300.0,488.16,0.0,0.0,188.16,1,0.0,0
890774,1,4300.0,1248.3,0.0,0.0,37.0,100.0,1,0.0,0
374170,1,3000.0,0.0,56.4,0.0,0.0,113.26,1,0.0,0
198270,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1905.79,0
367756,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3218.39,0
356999,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,774.29,0
306959,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1238.97,0
916842,1,5000.0,2821.32,39.99,0.0,85.0,255.36,1,0.0,0
665653,3,15000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
450346,1,7000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
835082,1,4000.0,252.54,0.0,0.0,27.0,30.0,1,0.0,0
780569,1,6500.0,346.71,346.71,0.0,0.0,144.78,1,0.0,0
497764,1,26800.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
280620,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,4877.81,0
643022,1,3000.0,2686.7,187.34,0.0,81.0,200.0,1,0.0,0
485809,1,26300.0,1847.73,2591.08,0.0,55.0,1000.0,1,0.0,0
882856,1,300.0,88.83,0.0,0.0,54.0,0.0,3,0.0,0
1230567,2,7000.0,0.0,0.0,0.0,0.0,0.0,4,6873.77,0
729463,1,2500.0,962.95,0.0,0.0,29.0,0.0,1,0.0,0
696488,1,23000.0,0.0,0.0,0.0,0.0,0.0,4,3908.06,0
536454,3,15000.0,7423.62,17.41,0.0,223.0,1000.0,1,0.0,0
