,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
415417,1,7000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
296576,1,500.0,0.0,229.55,0.0,0.0,311.27,1,0.0,0
418326,1,1000.0,788.93,4.99,0.0,27.0,50.0,1,0.0,0
523121,2,25000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
166449,1,500.0,112.1,455.62,0.0,27.0,343.52,1,0.0,0
884688,1,2300.0,0.0,156.06,0.0,0.0,177.01,1,0.0,0
959437,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
557957,1,7800.0,0.0,0.0,0.0,0.0,0.0,4,2727.16,0
195717,1,16500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1088287,7,4000.0,0.0,0.0,0.0,0.0,0.0,4,495.0,0
680372,1,3000.0,36.49,240.61,0.0,27.0,366.83,1,0.0,0
978303,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1217.77,0
363356,1,27800.0,7356.37,0.0,0.0,221.0,800.0,1,0.0,0
442982,1,500.0,271.42,489.98,0.0,27.0,430.38,1,0.0,0
191638,1,2200.0,2068.46,45.39,0.0,0.0,100.0,1,0.0,0
1125077,1,3000.0,-27.32,83.04,53.24,0.0,212.19,1,0.0,0
573393,1,3000.0,0.0,0.0,0.0,0.0,0.0,4,3011.38,0
822703,1,1500.0,-405.53,481.59,0.0,0.0,962.12,1,0.0,0
1052314,3,10000.0,1609.14,114.47,0.0,48.0,1900.0,1,0.0,0
1090819,1,6500.0,646.69,1203.29,0.0,27.0,930.98,1,0.0,0
1084841,1,2000.0,2086.59,263.85,0.0,60.0,210.0,1,0.0,0
864213,1,2000.0,1967.87,0.0,0.0,117.0,0.0,2,0.0,0
324570,1,17500.0,-228.05,134.25,0.0,0.0,1027.0,1,0.0,0
389349,1,3500.0,3353.54,318.19,0.0,101.0,200.0,1,0.0,0
912052,1,15000.0,14427.69,155.84,0.0,433.0,500.0,1,0.0,0
257204,1,7000.0,5049.68,0.0,0.0,151.0,200.0,1,0.0,0
294975,1,6500.0,1580.03,1288.33,0.0,47.0,1400.0,1,0.0,0
495552,1,25000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
481458,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2009.25,0
167799,1,2500.0,1523.32,50.0,0.0,46.0,150.0,1,0.0,0
680041,1,11500.0,192.02,192.02,0.0,27.0,134.87,1,0.0,0
19659,1,30000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
849338,1,1000.0,969.28,23.92,0.0,29.0,35.0,1,0.0,0
26259,1,28000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
896469,1,500.0,0.0,0.0,0.0,0.0,0.0,4,335.33,0
854315,1,2000.0,1970.56,138.15,0.0,0.0,56.0,1,0.0,0
1221983,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1993.75,0
1135114,1,3000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1023587,1,20000.0,0.0,0.0,0.0,0.0,0.0,4,21214.55,0
723026,1,5500.0,2505.14,0.0,0.0,75.0,105.46,1,0.0,0
667245,1,22500.0,0.0,0.0,0.0,0.0,20.0,1,0.0,0
344278,1,23500.0,930.78,4253.51,203.33,28.0,11667.0,1,0.0,0
914318,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1225.8,0
822101,1,8000.0,45.0,216.18,0.0,27.0,171.18,1,0.0,0
1113821,1,1000.0,99.17,804.61,117.58,27.0,952.73,1,0.0,0
326396,1,6500.0,4639.29,103.75,0.0,139.0,200.0,1,0.0,0
625390,3,7000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
52880,1,500.0,183.54,9.88,0.0,27.0,30.0,1,0.0,0
625055,1,500.0,4.52,33.61,0.0,4.52,29.1,1,0.0,0
894693,1,20000.0,14854.19,0.0,0.0,446.0,470.0,1,0.0,0
744431,1,500.0,151.94,8.58,0.0,27.0,250.0,1,0.0,0
516522,1,9800.0,0.0,0.0,0.0,0.0,0.0,4,10217.58,0
1167815,1,12500.0,8981.27,0.0,0.0,269.0,400.0,1,0.0,0
752916,4,4750.0,0.0,0.0,0.0,0.0,0.0,4,3718.34,0
775547,2,7500.0,103.46,181.28,77.82,27.0,0.0,1,0.0,0
189330,1,5500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
940866,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1108709,1,1000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
720873,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2233.25,0
292414,1,500.0,359.76,2.5,0.0,27.0,54.0,1,0.0,0
1063192,1,3000.0,117.57,224.82,0.0,0.0,389.53,1,0.0,0
283159,1,500.0,48.25,474.01,0.0,27.0,817.28,1,0.0,0
1223022,1,21500.0,129.74,229.74,0.0,27.0,100.0,1,0.0,0
810541,1,1000.0,502.83,76.69,0.0,27.0,50.0,1,0.0,0
851560,3,5000.0,0.0,0.0,0.0,0.0,0.0,4,4225.06,0
768674,2,10000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
304802,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
798032,1,12000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
740160,1,3000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1076269,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
295672,3,5000.0,4198.98,0.0,0.0,126.0,266.0,1,0.0,0
401137,1,26100.0,1292.53,0.0,0.0,39.0,200.0,1,0.0,0
53822,1,8500.0,7748.92,2231.09,162.0,0.0,5060.0,1,0.0,0
360321,1,7800.0,4032.72,957.53,0.0,121.0,700.0,1,0.0,0
801696,1,3000.0,904.34,28.23,0.0,27.0,150.0,1,0.0,0
1212354,1,2000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
529953,1,6000.0,4608.68,67.0,0.0,138.0,150.0,1,0.0,0
991979,1,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
660105,1,25500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1163701,1,24000.0,2827.69,0.0,0.0,85.0,0.0,1,0.0,0
727258,3,5000.0,3678.8,0.0,0.0,110.0,150.0,1,0.0,0
18714,1,28300.0,4393.03,85.87,0.0,132.0,245.0,1,0.0,0
173676,1,12500.0,7731.97,1208.5,6.72,232.0,60.0,1,0.0,0
1212520,1,10000.0,0.0,0.0,0.0,0.0,0.0,4,3411.04,0
1070708,1,10000.0,7463.42,0.0,0.0,224.0,500.0,1,0.0,0
774121,4,2800.0,0.0,0.0,0.0,0.0,0.0,4,2790.21,0
207398,1,17000.0,0.0,0.0,0.0,0.0,0.0,4,13194.73,0
642398,1,26000.0,4475.41,0.0,0.0,134.0,300.0,1,0.0,0
362923,3,27000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
237277,1,20000.0,17885.31,0.0,0.0,1073.0,0.0,1,0.0,0
707700,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,5234.69,0
1134266,1,1000.0,1318.91,0.0,0.0,60.0,30.0,1,0.0,0
