,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
771686,1,8000.0,6970.99,36.53,0.0,209.0,175.0,1,0.0,0
702633,3,10000.0,574.77,104.15,0.0,27.0,100.0,1,0.0,0
955039,1,300.0,466.76,0.0,0.0,81.0,0.0,1,0.0,0
780689,1,5000.0,131.2,130.88,0.0,27.0,684.34,1,0.0,0
292740,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1253.12,0
300022,1,300.0,279.33,9.99,0.0,27.0,3.0,1,0.0,0
891866,6,4000.0,0.0,0.0,0.0,0.0,0.0,4,4508.71,0
198813,1,18000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
184460,1,5000.0,2961.61,0.0,0.0,89.0,100.0,1,0.0,0
243157,1,12000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
637526,1,24000.0,6012.12,0.0,0.0,180.0,450.0,1,0.0,0
24844,1,1000.0,256.59,0.0,0.0,27.0,100.0,1,0.0,0
691283,2,27500.0,1307.39,1307.39,0.0,39.0,1273.57,1,0.0,0
169392,1,500.0,293.21,0.0,0.0,135.0,0.0,5,0.0,0
667875,8,1500.0,0.0,0.0,0.0,0.0,0.0,4,525.25,0
1177115,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2298.97,0
1087065,1,26000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
179772,1,18000.0,17807.47,258.4,0.0,534.0,730.0,1,0.0,0
947121,1,5000.0,3121.96,312.84,0.0,94.0,300.0,1,0.0,0
834314,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,13.0,0
1060620,1,3000.0,2829.23,318.91,13.89,85.0,220.0,1,0.0,0
1022420,1,1000.0,0.0,19.08,0.0,0.0,926.99,1,0.0,0
683385,1,23000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
896974,1,5000.0,0.0,0.0,0.0,0.0,0.0,4,4821.23,0
622283,3,5000.0,1648.89,0.0,0.0,0.0,200.0,1,0.0,0
601936,1,2000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
1202673,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1737.49,0
83350,1,24000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
338222,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,44.61,0
190805,1,500.0,0.0,0.0,0.0,0.0,34.31,1,0.0,0
813012,1,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
