,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
897089,9,3500.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
1156999,1,2500.0,0.0,0.0,0.0,0.0,0.0,4,2652.99,0
16031,1,300.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
893368,3,27000.0,-96.74,94.6,57.24,0.0,1690.32,1,0.0,0
601911,1,27000.0,8726.98,257.86,0.0,262.0,400.0,1,0.0,0
55936,1,2000.0,2045.69,44.88,0.0,89.0,30.0,1,0.0,0
1010303,1,5000.0,228.84,228.84,0.0,0.0,228.84,1,0.0,0
779239,1,25000.0,996.01,0.0,0.0,30.0,100.0,1,0.0,0
13984,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2184.71,0
261116,1,7500.0,6132.83,502.4,0.0,184.0,173.0,1,0.0,0
172507,1,1000.0,0.0,0.0,0.0,0.0,29.04,1,0.0,0
457437,1,5000.0,2717.76,0.0,0.0,82.0,180.0,2,0.0,0
789653,1,500.0,0.0,16.78,0.0,0.0,517.05,1,0.0,0
264934,1,25500.0,18138.85,2.99,0.0,0.0,600.0,1,0.0,0
262367,2,22000.0,1226.64,2494.41,0.0,0.0,1317.13,1,0.0,0
1023314,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
477536,1,23000.0,367.61,367.61,0.0,27.0,478.96,1,0.0,0
13731,1,10000.0,9795.85,350.24,0.0,0.0,600.0,1,0.0,0
98053,1,2000.0,1925.12,547.83,0.0,58.0,197.37,1,0.0,0
389650,1,26100.0,0.0,0.0,0.0,0.0,40.09,1,0.0,0
61688,1,12000.0,352.26,150.91,0.0,27.0,200.0,1,0.0,0
571287,1,3000.0,-365.11,0.0,0.0,0.0,100.0,1,0.0,0
13902,1,22100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
714470,2,22000.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0
321460,1,15000.0,162.73,162.73,0.0,0.0,111.2,1,0.0,0
473424,2,10000.0,8227.42,8227.42,0.0,247.0,635.85,1,0.0,0
1141390,1,1000.0,0.0,80.0,0.0,0.0,80.0,1,0.0,0
