,CardType,CreditLine,LastStatementBalanceAmount,LastStatementPurchaseAmount,LastStatementPurchaseReturnAmount,LastStatementMinimumPaymentDueAmount,LastStatementPaymentTotalAmount,CardExternalStatus,ChargeOffAmount,Target
96694,1,26000.0,3515.48,0.0,0.0,105.0,200.0,1,0.0,0
954403,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1490.87,0
1192250,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1253.3,0
18015,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2189.09,0
651140,1,2500.0,128.71,0.99,0.0,54.0,0.0,1,0.0,0
167531,1,7300.0,-0.13,4418.37,0.0,0.0,4418.5,2,0.0,0
16249,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,768.81,0
186721,1,1500.0,0.0,3.1,0.0,0.0,3.1,1,0.0,0
578253,1,10800.0,9377.82,193.56,0.0,0.0,350.0,1,0.0,0
1148116,1,500.0,273.32,399.97,0.0,27.0,288.12,1,0.0,0
760370,4,15000.0,0.0,0.0,0.0,0.0,0.0,4,12689.55,0
903250,1,5000.0,4769.46,117.99,0.0,0.0,200.0,1,0.0,0
334556,1,13500.0,568.46,1302.46,300.0,27.0,434.0,1,0.0,0
1131205,1,6500.0,0.0,0.0,0.0,0.0,0.0,4,5628.73,0
974898,1,500.0,279.62,24.99,0.0,27.0,75.0,1,0.0,0
582514,1,3000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
792232,1,1000.0,936.64,0.0,0.0,0.0,50.0,6,0.0,0
964421,1,5000.0,884.22,0.0,0.0,27.0,55.0,3,0.0,0
190650,4,2000.0,0.0,0.0,0.0,0.0,0.0,4,2359.06,0
70130,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1449.14,0
1026025,1,300.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
798097,1,20600.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
770660,1,3000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
66835,1,2500.0,2251.92,0.0,0.0,134.0,0.0,1,0.0,0
1068775,1,8000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
9225,1,1000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
854206,1,1000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0
1209585,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,1977.49,0
581677,2,5000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
1003951,1,2500.0,0.0,0.0,0.0,0.0,0.0,4,2902.3,0
344812,1,20000.0,12717.6,0.0,0.0,382.0,389.89,1,0.0,0
297653,1,15000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
896462,1,500.0,209.69,6.16,0.0,27.0,300.0,1,0.0,0
1221220,1,2000.0,0.0,0.0,0.0,0.0,0.0,4,2320.65,0
23184,1,11500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
886684,1,4000.0,313.32,313.32,0.0,27.0,189.87,1,0.0,0
844612,1,1000.0,760.88,760.88,0.0,27.0,961.74,1,0.0,0
1107099,1,28000.0,90.34,307.75,0.0,0.0,391.19,1,0.0,0
359169,3,26500.0,540.66,540.66,0.0,27.0,491.45,1,0.0,0
417983,1,500.0,147.01,167.94,21.29,0.0,0.0,1,0.0,0
31340,1,12000.0,9001.99,228.14,14.84,270.0,400.0,1,0.0,0
207270,1,2000.0,6.08,0.0,0.0,6.08,0.0,1,0.0,0
1226821,1,1000.0,0.0,0.0,0.0,0.0,0.0,4,1101.36,0
257147,2,7000.0,0.0,1256.5,0.0,27.0,1298.41,1,0.0,0
451820,1,17000.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
844333,1,500.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
441163,1,4000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
637853,1,12000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0
537490,1,500.0,305.1,20.65,0.0,27.0,0.0,1,0.0,0
242207,1,8800.0,0.0,0.0,0.0,0.0,266.24,1,0.0,0
657702,1,5000.0,2677.39,0.0,0.0,158.0,0.0,1,0.0,0
629173,1,5000.0,504.23,0.0,0.0,0.0,850.0,1,0.0,0
325519,1,26300.0,903.92,1256.46,0.0,27.0,400.0,1,0.0,0
